id;x;y;z
2048;702990.06;4989821.25;1212.34
2049;703058.68;4989826.62;1180.19
4097;703321.56;4989899.87;1031.25
3;703353.67;4989879.61;1036.75
4099;703204.25;4990287.85;1128.12
4096;703327.11;4989931.96;1285.52
6;703295.89;4989895.05;1034.77
7;703146.53;4990082.56;1063.86
4104;703038.4;4989519.05;1334.31
2056;703095.58;4989645.68;1141.5
4105;703325.83;4989894.57;1032.82
11;703195.46;4989829.84;1104.71
2057;703067.47;4989777.63;1242.3
9;703102.48;4990176.9;1244.34
14;703056.2;4989792.37;1185.22
4110;703069.88;4989807.97;1223.61
4112;703001.55;4989838.84;1211.79
2058;703178.64;4989972.82;1108.54
2066;703198.74;4989830.95;1085.01
2067;703203.87;4989826.29;1064.87
4117;703231.18;4990274.06;1178.96
23;703131.6;4990125.79;1146.74
2073;703203.17;4989834.61;1052.35
26;703353.6;4989979.59;1268.9
4124;703247.82;4989949.15;1067.46
2077;703153.84;4990047.39;1083.06
29;703206.46;4990271.63;1185.3
31;703066.96;4989594.76;1257.44
32;703147.86;4990292.23;1213.71
4129;703217.51;4989988.08;1095.23
4131;703001.53;4989378.26;1531.12
2088;702996.78;4989387.73;1524.43
40;703192.32;4990150.22;1194.6
8;703341.47;4990003.91;1259.74
4139;703121.89;4989690.42;1180.97
43;703147.96;4989980.32;1115.21
4141;703126.85;4989925.34;1183.08
4142;703132.89;4990054.57;1070.32
47;703181.7;4989814.08;1099.57
2092;703147.35;4990301.84;1209.11
45;703224.12;4990271.44;1205.76
2091;703216.96;4990283.43;1062.69
51;703057.63;4989530.94;1288.09
4147;703118.13;4990119.8;1198.55
4149;703127.06;4989693.28;1169.39
53;703114.25;4989857.47;1195.57
55;703160.11;4990018.14;1101.75
2101;703146.31;4990049.99;1080.46
54;703044.35;4990127.63;1162.13
58;703002.76;4989383.19;1528.29
4153;703111.09;4990055.87;1081.5
4156;703316.57;4989899.2;1036.65
2109;703276.34;4990101.78;1221.73
4158;703159.37;4990018.71;1093.83
2111;703308.9;4989918.91;1105.6
4151;703202.74;4990017.56;1092.51
65;703133.75;4990067.3;1067.72
59;703200.11;4990058.28;1080.82
67;703227.67;4990286.06;1204.38
2116;703042.7;4989790.65;1186.2
2117;702995.8;4989367.35;1548.2
68;703331.82;4989885.1;1104.21
4167;703071.42;4989605.75;1237.64
72;703088.44;4990053.36;1073.47
4164;703138.65;4990089.44;1055.77
2120;703346.83;4989960.94;1272.8
75;703129.44;4990060.46;1089.47
76;703114.8;4990184.0;1251.54
77;703074.2;4989763.49;1247.74
78;703196.46;4990207.35;1192.12
2127;703073.85;4989814.75;1220.66
4175;703136.81;4990199.04;1183.39
4177;703074.71;4989747.25;1260.05
81;703337.04;4989877.05;1094.92
2129;703132.72;4990071.64;1067.4
4180;703165.19;4990020.55;1090.34
4178;703149.12;4990264.89;1233.12
86;702971.15;4989385.09;1520.58
2134;703019.75;4989518.49;1360.83
4183;703119.87;4989835.34;1179.75
2136;703123.02;4990110.05;1194.58
91;703241.73;4989942.25;1075.17
95;703142.58;4990316.12;1215.68
96;703294.33;4989912.47;1034.05
97;703023.45;4989517.98;1359.58
2145;703207.74;4989843.07;1035.54
2146;703077.29;4989817.7;1217.83
4193;703104.85;4990032.52;1089.45
101;703210.68;4989848.58;1037.33
4198;703167.28;4990034.4;1102.55
4201;703229.31;4989959.21;1084.98
4202;703036.92;4990096.32;1170.26
107;703277.78;4989939.36;1108.03
4205;703333.55;4989876.93;1077.52
4206;703065.2;4989827.23;1179.0
2158;703128.53;4989838.72;1190.72
4207;703185.43;4990160.79;1180.2
2160;703214.73;4990278.95;1077.85
2162;703159.84;4990043.64;1101.39
4211;702990.05;4989369.47;1548.7
116;703067.92;4989786.07;1240.28
2164;703067.69;4989780.44;1240.95
115;703158.5;4990037.41;1093.69
2163;703205.92;4990038.33;1090.29
2168;703115.74;4989852.96;1189.46
2170;703123.96;4990118.06;1156.11
124;703104.17;4990148.18;1200.81
2172;703212.21;4990279.41;1080.47
4222;703070.9;4989554.15;1272.19
2175;703292.56;4989907.02;1037.24
2174;703122.57;4989873.68;1193.66
129;703186.45;4990163.69;1132.43
4226;703109.58;4989842.58;1180.02
131;702988.02;4989446.57;1472.1
