id;cswidth;csheight
4097;0.21;3.24
4099;0.38;0.94
2051;0.65;5.96
4100;4.49;1.16
4101;2.18;3.68
4105;1.59;2.21
2059;1.98;7.98
2060;4.43;11.45
15;1.46;2.11
2065;0.25;3.06
18;0.65;5.2
20;0.45;1.07
2069;1.89;12.76
4117;2.3;2.79
4118;1.46;0.84
4122;3.89;17.74
27;2.18;16.96
26;1.08;3.53
29;1.64;1.47
31;12.24;6.91
4128;0.09;13.12
32;4.61;2.72
4129;2.31;2.11
4131;7.02;4.18
4132;0.48;5.79
2085;0.26;2.13
4135;5.33;1.27
4136;0.79;3.31
2082;0.51;3.13
2090;0.52;0.98
2091;2.99;8.19
4141;1.84;2.81
44;14.58;14.58
2097;0.21;4.0
4147;3.84;7.98
2101;4.04;4.04
2102;0.47;0.6
56;0.16;3.66
58;0.72;1.81
2107;1.27;3.34
4155;3.37;5.77
2108;5.53;25.95
4159;2.95;17.62
4160;2.95;2.01
2113;0.51;1.11
64;0.33;1.04
2115;0.45;6.26
2118;1.5;1.17
4168;4.64;18.78
2120;7.7;6.43
75;1.1;4.83
4171;0.74;5.07
4173;0.4;2.72
4174;0.58;1.16
2126;0.75;3.17
4176;1.91;8.05
81;0.15;0.05
4178;1.6;15.98
2131;3.93;12.79
2129;7.35;0.91
2128;0.23;2.82
4182;3.1;18.19
4183;1.43;16.01
87;0.7;1.83
4088;0.43;2.95
2138;2.57;2.6
2139;0.64;17.17
95;2.09;6.44
96;0.41;4.21
2149;1.62;4.68
4198;0.33;1.57
103;0.45;1.94
2152;4.66;16.0
105;1.83;3.25
2154;4.52;3.38
2155;1.71;2.14
107;2.48;11.37
2157;0.82;15.33
4203;0.25;1.68
2159;6.4;12.65
110;0.66;2.97
112;1.97;0.88
116;4.89;2.13
4213;5.32;8.28
2164;0.44;5.09
119;1.05;15.83
120;1.68;0.83
4217;4.78;12.15
122;0.73;1.57
2172;8.23;2.2
4221;3.88;0.57
4222;1.88;1.36
127;3.99;3.87
4233;2.22;2.9
2188;2.36;16.01
4238;0.36;1.87
146;0.46;3.85
2196;0.21;1.61
150;3.06;12.57
153;1.25;4.78
2202;3.2;4.21
155;1.03;16.0
4251;1.77;8.55
154;1.9;9.06
4252;0.01;1.43
4257;2.4;10.12
162;0.65;5.39
163;0.4;0.88
4262;0.3;8.06
4265;1.93;8.76
169;0.73;1.35
171;0.4;16.0
2220;0.93;2.26
2217;2.8;3.75
178;2.17;5.69
4275;3.14;1.82
180;1.44;15.25
4276;18.61;7.87
4278;2.19;7.7
4279;3.55;2.67
2226;0.37;4.09
2233;1.09;4.48
36;0.26;2.09
4283;0.79;6.86
2236;0.03;0.37
2235;3.41;4.33
190;1.37;1.31
4287;0.5;0.67
2240;1.9;14.34
186;1.7;5.88
194;0.41;8.01
2245;2.61;2.36
198;13.83;3.33
2246;1.43;6.67
2249;1.41;1.41
2250;0.41;0.36
2251;3.01;19.0
4299;8.06;8.06
208;4.01;10.0
2256;3.55;37.59
211;9.45;24.14
2257;0.39;2.22
2262;20.57;6.91
2263;2.36;0.57
2265;4.92;4.92
2266;1.06;1.9
2268;0.5;1.25
221;2.67;15.73
4323;0.1;2.7
2081;2.42;5.42
2280;1.88;17.86
2279;1.0;8.75
4330;0.36;10.99
2283;2.17;5.82
2285;2.29;5.62
237;4.06;2.63
240;0.58;8.07
2288;5.33;4.73
4338;1.33;4.14
246;0.38;13.74
2294;6.98;1.76
4344;1.01;2.18
4346;0.65;8.07
2298;3.98;1.61
252;1.0;1.0
2301;1.36;19.76
250;0.08;0.83
256;1.07;6.71
4353;6.78;4.04
4354;1.94;8.72
261;5.57;2.54
266;4.53;5.94
268;1.69;12.0
2317;1.88;4.09
2318;0.56;1.55
2321;2.42;7.09
2322;0.12;1.4
276;0.87;2.88
4373;20.38;6.16
280;0.36;2.5
4377;2.26;11.01
4380;5.79;14.61
2334;2.83;18.96
4127;3.44;7.88
4385;1.67;1.67
290;4.44;1.98
4386;10.55;13.18
4389;1.07;18.88
4390;0.8;1.7
2347;0.19;0.93
2348;0.39;0.98
2349;0.02;14.14
301;4.23;17.74
2351;6.63;23.04
2352;9.72;9.72
306;2.59;19.02
4403;4.53;3.73
308;11.57;8.22
4402;1.39;0.99
4407;1.54;12.52
2360;1.82;1.82
313;4.5;11.54
4408;0.26;0.82
315;2.51;2.47
2364;3.1;15.85
317;0.23;2.55
2363;0.38;4.03
4413;0.18;0.26
2366;0.17;5.94
2369;0.15;3.63
2368;1.24;0.86
323;0.65;16.01
324;2.72;15.99
2372;1.61;18.61
2374;4.36;14.45
2373;0.84;25.95
328;0.3;1.16
329;1.07;5.21
4427;1.99;4.11
326;1.58;5.34
4428;0.39;4.6
2383;1.06;0.49
2385;0.54;1.78
4435;3.19;10.21
2388;0.45;1.35
2391;0.1;2.08
2392;6.27;6.3
345;0.23;1.89
2395;0.17;2.22
4444;0.1;0.99
349;0.98;15.35
2398;0.08;8.03
4446;0.12;7.93
4452;1.79;1.9
4453;0.38;4.0
358;2.03;4.18
4454;0.53;0.91
4456;1.3;1.17
4457;0.63;1.42
2410;0.08;4.35
2411;1.49;0.68
4459;1.17;1.7
365;0.64;1.17
2414;4.73;4.96
364;1.87;9.55
2416;0.53;8.16
2418;0.75;2.95
372;1.8;2.01
2420;17.33;7.48
2423;0.94;6.68
378;1.03;2.65
2427;3.57;19.01
4477;1.79;0.07
4478;0.54;0.51
4480;1.65;2.11
4481;1.39;2.57
384;13.17;6.55
387;6.16;4.51
4485;2.12;16.01
4486;1.76;1.76
4487;4.31;2.22
4488;1.43;2.95
391;5.9;5.9
4491;10.11;3.27
395;1.33;7.46
396;0.68;0.33
2446;0.19;1.23
2447;0.63;1.6
4495;2.39;2.29
4498;1.9;16.0
2452;3.94;3.94
2453;10.64;0.99
4508;1.48;15.48
2461;0.28;1.01
4510;1.19;15.95
2462;1.39;0.96
4512;2.12;1.69
2464;0.46;2.41
418;1.89;1.85
417;0.2;1.96
2468;0.65;2.29
4517;1.66;8.97
4518;3.47;1.28
2471;3.6;2.88
4520;5.63;37.27
4521;0.52;8.01
2474;2.5;18.76
4516;0.5;0.86
428;0.85;2.68
2478;3.45;2.31
4527;0.25;3.48
2479;0.15;5.46
2482;1.25;13.17
4532;4.86;2.31
4537;2.6;3.29
4542;1.41;2.16
4545;2.07;3.94
2500;0.38;8.06
452;0.05;2.17
2502;0.35;1.36
4552;5.43;2.99
458;10.01;10.01
4555;4.56;4.91
2507;3.82;0.37
460;0.16;1.47
2509;0.72;1.72
2511;0.8;2.65
464;0.65;1.13
4562;0.77;16.01
4558;3.31;1.89
4565;3.25;3.25
4566;0.57;8.48
2519;3.86;5.92
472;1.15;15.98
469;2.38;2.38
474;0.12;2.56
2522;2.53;17.99
2524;2.63;18.7
476;2.64;20.01
475;2.93;5.48
479;1.46;7.86
2528;3.04;3.2
2529;0.49;8.07
4578;0.08;6.87
2527;2.13;5.37
2525;0.37;0.56
480;0.09;0.04
4580;0.69;2.54
4583;1.09;2.29
4584;3.53;3.93
489;15.25;9.31
482;2.47;4.06
2539;3.75;8.34
491;11.74;4.69
4588;0.72;1.42
496;4.98;6.38
498;3.44;2.42
4595;0.75;4.9
500;4.06;5.35
4598;0.95;1.57
2553;1.7;15.57
4602;6.97;11.72
2554;4.13;18.75
508;1.15;2.66
4606;0.85;3.57
511;0.26;15.9
4607;0.75;2.43
4612;1.7;2.97
4614;4.7;18.81
519;2.26;0.97
4091;1.44;4.59
2572;8.14;17.56
2573;2.22;13.8
525;0.14;13.22
2574;0.24;0.8
528;3.0;18.8
529;1.02;4.24
526;1.44;6.2
531;2.63;5.01
532;0.46;7.26
524;3.85;6.05
4630;0.64;5.67
533;12.59;7.31
536;10.35;34.42
2585;0.78;5.06
538;4.85;4.85
4629;0.62;3.27
540;0.57;16.01
4636;0.32;2.55
542;0.59;15.57
4639;0.52;4.91
2596;5.27;12.98
549;0.99;3.34
4648;6.73;6.59
553;2.54;10.95
2607;1.37;12.39
559;10.11;8.54
561;3.58;0.94
4662;2.08;7.89
4666;0.06;1.03
2619;0.45;2.34
574;0.29;3.51
2624;3.68;19.02
2625;2.47;15.74
577;3.56;8.29
4672;0.48;2.14
2627;1.5;14.93
576;3.29;21.89
2631;0.42;1.09
2632;2.02;8.0
2633;4.1;2.71
587;0.55;3.28
4684;0.14;3.8
589;0.0;7.48
2638;1.24;2.3
2639;2.32;16.0
2640;1.75;18.14
4685;1.11;5.76
4690;4.16;2.07
2644;8.41;3.09
4692;5.95;2.59
599;1.01;15.19
602;0.04;0.97
2650;0.22;1.38
4700;4.0;9.99
605;1.3;22.31
4702;1.23;10.99
604;5.69;13.07
608;8.32;16.95
609;0.87;5.55
2658;4.6;9.99
2659;0.5;6.39
2661;3.4;18.87
614;1.01;3.98
616;0.92;16.01
4710;2.05;12.59
617;0.14;1.54
613;0.87;1.67
4716;0.78;1.66
621;3.53;7.97
622;2.47;15.4
2671;0.12;15.2
624;3.48;3.48
2672;2.01;5.27
620;2.93;0.35
2675;9.89;19.95
626;2.62;3.0
625;0.11;0.9
4726;1.45;2.82
4727;1.65;1.2
2680;2.35;9.52
2681;3.11;16.01
634;0.17;3.92
635;0.54;13.54
2684;15.05;10.03
637;1.48;15.48
4734;2.17;16.01
2687;1.78;6.23
4733;9.51;1.49
636;0.66;1.14
2686;1.28;5.02
4730;1.57;3.8
641;4.63;2.99
2693;17.39;9.84
2696;1.82;21.74
4745;0.22;16.0
649;0.09;1.88
2697;3.49;3.49
4749;0.7;2.29
654;3.34;3.34
4751;2.92;15.98
2703;4.19;5.24
2166;4.0;2.3
659;0.22;2.82
661;2.58;1.61
662;11.53;7.88
663;5.78;7.28
2710;6.55;2.44
2712;0.11;5.19
2715;2.0;2.0
2716;1.33;1.79
4763;1.45;15.44
2718;4.45;2.2
671;3.12;15.97
2719;1.8;5.39
4768;0.52;2.83
667;1.49;4.65
675;0.19;1.54
4773;0.94;3.53
4776;1.14;1.2
682;3.73;5.53
684;1.63;15.97
685;3.18;4.04
2737;3.23;8.96
2738;3.5;3.5
2739;2.26;15.96
690;14.44;5.7
4789;0.58;0.98
693;1.11;2.1
695;0.39;1.7
2744;2.21;12.67
4792;4.01;14.0
4796;2.91;1.08
2749;2.02;5.19
4798;0.52;2.36
4797;5.66;2.05
4800;3.83;9.37
4801;0.23;8.3
2754;1.42;16.01
2751;4.46;14.96
2756;0.2;4.4
709;2.14;18.25
711;4.81;18.96
2760;2.45;11.05
4809;0.88;15.98
714;8.04;8.67
2763;3.52;11.89
4811;0.62;1.38
713;0.51;3.76
718;3.53;13.78
4212;11.09;6.48
720;2.8;2.8
721;1.03;2.11
4818;2.06;2.06
723;2.2;2.71
725;1.34;0.8
2774;31.62;16.49
4825;2.38;1.79
2778;0.02;2.06
729;1.7;3.28
2779;3.54;12.83
4829;1.66;3.6
4830;1.91;5.02
736;0.64;2.36
2787;0.41;12.91
4835;9.07;16.78
739;0.96;1.88
4837;0.14;1.47
2791;1.14;4.7
4838;0.2;5.86
4841;0.1;4.72
747;4.89;1.7
4844;1.54;2.9
752;0.59;0.55
755;1.91;0.82
2804;0.73;0.28
758;1.4;17.63
2807;4.07;2.34
2808;1.13;7.82
760;5.99;15.26
762;4.62;2.55
4859;1.0;5.75
2812;5.9;5.58
763;2.12;3.96
2815;3.33;18.57
767;0.12;0.65
4867;11.22;3.94
4868;3.32;5.79
2821;1.44;15.72
773;1.12;3.61
4870;2.72;10.04
2822;0.32;2.69
777;1.68;4.01
778;2.0;4.96
2826;3.48;17.41
2828;9.59;12.98
4872;0.99;0.27
784;0.68;7.04
4881;0.16;0.95
2834;1.06;4.06
2839;2.26;15.96
793;0.26;4.68
2841;0.06;0.53
4891;3.35;6.4
2844;0.75;7.87
2845;0.74;13.92
2846;0.32;3.24
4895;0.1;0.71
2848;0.44;6.62
801;3.18;3.5
2851;3.51;4.39
804;4.73;1.28
4901;4.05;2.12
4902;14.41;85.83
807;0.11;16.38
810;0.46;7.6
2859;6.68;3.27
4908;1.05;1.37
2863;5.5;2.14
2867;1.84;7.0
2870;0.26;16.16
824;0.27;8.0
2872;0.41;15.12
2871;2.35;4.15
4923;0.4;6.29
827;1.27;1.69
