id;x;y;z
2048;703400.91;5011927.91;1341.61
3;703341.71;5011922.85;1401.35
4;703371.31;5012027.67;1483.26
5;703441.99;5012126.56;1501.41
4102;703388.66;5011672.64;1301.96
10;703350.11;5011913.45;1409.62
13;703566.38;5012312.43;1441.54
2064;703350.59;5011950.73;1437.35
4115;703533.28;5012318.65;1445.52
24;703576.92;5012211.03;1383.45
2079;703363.7;5011977.27;1478.07
4130;703563.67;5012205.48;1402.63
2086;703556.83;5012229.45;1394.46
40;703384.02;5011888.09;1407.06
2089;703383.45;5011888.18;1386.24
4140;703350.11;5011913.45;1423.79
2095;703521.63;5012413.45;1442.72
53;703548.0;5012235.95;1388.87
55;703476.69;5012157.86;1506.15
4152;703349.98;5011997.93;1476.04
59;703414.52;5011763.21;1391.09
2110;703359.44;5011940.65;1424.05
65;703522.7;5012386.1;1442.88
4161;703541.83;5012235.67;1413.79
4164;703383.54;5011679.4;1301.96
82;703501.19;5012224.02;1512.42
2130;703577.31;5012183.76;1376.86
4179;703392.82;5011872.17;1404.95
2133;703397.48;5011593.07;1291.14
2134;703387.48;5011832.12;1320.46
2135;703456.74;5012150.57;1504.5
2132;703397.84;5011587.34;1289.31
4186;703532.97;5012233.96;1514.17
4187;703563.13;5012228.98;1392.5
92;703512.72;5012238.19;1514.82
93;703436.8;5012147.01;1502.41
4188;703396.13;5011855.73;1326.75
90;703382.21;5011588.75;1294.6
4197;703397.82;5011976.04;1348.05
104;703409.53;5011629.61;1303.68
2156;703424.06;5012090.69;1497.89
108;703349.14;5012000.32;1475.73
2170;703473.76;5012154.52;1505.9
2174;703341.71;5011922.85;1417.1
4223;703420.38;5011789.25;1400.86
4226;703408.19;5011731.65;1368.02
4227;703545.04;5012228.45;1416.05
139;703523.89;5012271.05;1415.01
4236;703582.8;5012155.14;1369.33
2189;703358.67;5011984.81;1478.07
2190;703403.43;5012080.35;1493.53
145;703495.8;5012190.91;1510.48
2194;703572.79;5012215.01;1385.54
2195;703499.82;5012226.53;1512.5
4248;703534.66;5012246.81;1391.62
4249;703523.81;5011866.29;1432.07
156;703381.72;5012039.69;1486.01
2204;703352.5;5011925.55;1406.36
2205;703413.04;5011898.75;1473.07
2208;703505.45;5012235.62;1514.18
2209;703568.65;5012174.2;1387.12
161;703350.11;5011913.45;1417.1
4261;703569.31;5012168.89;1386.36
166;703570.26;5012188.64;1381.72
165;703423.12;5011778.78;1399.3
2216;703384.52;5011880.39;1401.01
4271;703348.93;5011946.94;1463.68
176;703436.51;5011836.12;1411.4
177;703392.61;5011599.46;1298.03
179;703441.5;5012133.39;1501.8
2229;703584.01;5012129.83;1365.25
2244;703443.54;5012125.65;1501.39
197;703428.64;5012094.41;1498.62
199;703459.76;5012157.78;1503.87
204;703472.4;5012156.9;1505.78
4305;703384.52;5011880.39;1391.17
4306;703583.81;5012163.71;1373.53
2258;703484.97;5011786.43;1412.77
212;703358.44;5011893.62;1401.46
2260;703380.91;5011702.84;1304.72
216;703497.16;5012176.17;1509.67
4316;703383.45;5011888.18;1372.75
2269;703347.1;5011920.25;1412.65
2271;703494.84;5012200.7;1511.02
4325;703438.37;5011833.16;1425.58
2278;703404.18;5011653.44;1302.7
231;703521.5;5012344.43;1445.5
4326;703406.17;5011622.86;1302.0
4329;703555.02;5012317.91;1440.35
236;703591.75;5012155.07;1377.6
2289;703525.01;5012411.13;1442.72
4343;703400.81;5011948.3;1346.4
251;703483.52;5012160.57;1507.57
4348;703551.31;5012319.17;1439.97
253;703525.8;5012407.06;1445.01
2302;703347.98;5011910.29;1413.52
2307;703415.35;5012086.43;1496.73
2313;703372.07;5011899.99;1441.31
2315;703523.26;5012419.74;1442.72
267;703581.16;5012175.51;1374.73
4363;703350.25;5011939.67;1460.98
2319;703467.58;5011842.19;1418.59
2320;703352.5;5011925.55;1417.08
4368;703390.33;5011893.39;1362.31
4372;703563.26;5012193.72;1400.56
4376;703599.81;5012300.69;1446.92
283;703374.42;5011891.2;1393.71
4382;703437.78;5012144.78;1502.05
291;703412.9;5011736.69;1367.01
4388;703443.9;5011825.86;1425.58
296;703395.42;5011925.36;1340.15
298;703382.66;5011890.44;1407.54
4399;703394.91;5011589.38;1290.02
4410;703409.27;5012081.7;1495.05
4412;703401.68;5011636.42;1293.97
2370;703390.13;5011841.29;1402.46
4430;703391.62;5011719.67;1362.23
4432;703558.62;5012210.17;1407.66
2386;703356.99;5011927.11;1422.74
4440;703400.81;5011878.38;1419.79
346;703421.44;5011785.18;1400.35
4443;703427.36;5011776.37;1398.43
2394;703386.62;5011844.84;1322.65
2397;703531.63;5012268.97;1409.53
2407;703398.09;5012056.8;1487.73
4463;703416.62;5011749.85;1376.33
375;703401.19;5011990.79;1348.93
4472;703389.63;5011866.31;1405.53
381;703551.14;5012232.98;1417.54
2432;703561.89;5012228.71;1392.99
2434;703401.21;5011939.75;1345.87
2435;703396.15;5011742.83;1309.64
2437;703571.58;5012188.45;1381.03
390;703401.96;5011606.89;1299.02
392;703445.72;5011826.01;1412.05
2442;703454.26;5012149.36;1504.5
399;703534.43;5012256.62;1408.17
4496;703520.12;5012386.24;1442.04
401;703442.68;5012101.61;1500.48
2449;703401.93;5011623.93;1293.35
4499;703404.16;5011614.12;1300.41
4505;703416.49;5011794.38;1401.77
4507;703443.05;5012117.03;1501.34
424;703357.97;5011911.64;1405.03
4525;703440.43;5012136.69;1501.88
431;703369.44;5011906.95;1440.44
4528;703453.79;5011803.99;1428.6
4538;703379.8;5012034.03;1485.6
443;703356.86;5011908.65;1407.01
4543;703391.35;5011761.98;1312.29
448;703409.1;5011730.43;1368.48
2499;703579.25;5012196.07;1379.76
453;703362.18;5011907.01;1426.61
2505;703399.8;5011975.59;1347.97
2506;703502.48;5012228.89;1512.5
4556;703359.67;5011921.09;1454.71
461;703555.14;5012216.42;1409.32
466;703535.85;5012305.51;1431.9
467;703388.53;5011826.24;1319.86
471;703404.27;5012082.29;1494.04
2526;703550.89;5012223.11;1411.19
478;703349.48;5011975.98;1468.93
4577;703407.5;5011839.41;1411.57
485;703469.08;5012156.42;1505.87
2534;703392.05;5011877.27;1403.72
2543;703583.7;5012137.12;1365.78
2544;703460.32;5011796.24;1411.6
2546;703356.09;5011905.8;1408.52
4596;703475.54;5012154.41;1505.93
4603;703568.0;5012204.84;1387.46
4604;703368.37;5011900.55;1440.44
510;703580.08;5012305.8;1446.62
2559;703370.38;5011913.79;1440.44
4611;703401.07;5011724.92;1362.43
518;703574.32;5012211.75;1383.7
2568;703495.74;5012195.96;1510.93
522;703444.24;5012109.95;1500.83
2575;703566.54;5012171.12;1385.22
2581;703539.51;5012320.75;1439.09
2582;703573.41;5012224.85;1391.57
534;703496.75;5011844.81;1424.5
4632;703408.62;5011626.62;1303.21
537;703442.23;5012129.6;1501.55
544;703494.81;5012166.1;1508.46
2600;703399.85;5011944.47;1346.13
2602;703580.34;5012202.28;1381.49
555;703372.7;5012028.42;1483.26
2608;703512.22;5012360.56;1446.78
4656;703539.16;5012316.33;1439.36
2610;703401.93;5011656.41;1301.96
2612;703366.19;5011977.13;1478.64
2614;703399.54;5011885.88;1408.7
2617;703566.84;5012200.43;1401.71
580;703393.13;5012049.58;1487.42
583;703366.37;5012022.08;1482.35
590;703343.54;5011991.25;1470.14
594;703357.14;5011917.24;1426.2
4691;703349.33;5011960.82;1467.09
4695;703396.99;5011875.07;1402.8
2653;703538.17;5012321.67;1438.4
4704;703388.92;5011766.53;1313.11
610;703531.47;5012335.09;1445.52
2660;703540.24;5012231.2;1514.17
615;703572.94;5012216.66;1385.54
4712;703566.38;5012189.03;1382.74
4713;703437.46;5012154.44;1502.8
2663;703388.19;5012045.91;1486.05
2673;703595.0;5012147.02;1372.84
4723;703396.51;5011885.66;1410.73
639;703391.13;5011927.74;1340.58
2689;703545.79;5012240.34;1388.63
4741;703357.48;5011905.83;1409.03
646;703576.91;5012187.33;1379.51
2695;703356.3;5011990.97;1478.07
657;703395.44;5011611.97;1292.36
4757;703528.11;5012269.7;1411.36
664;703557.52;5012211.14;1408.95
665;703407.86;5011617.98;1301.74
4771;703585.49;5012124.37;1363.62
4774;703444.93;5012111.88;1501.15
4777;703565.15;5012309.01;1441.71
681;703549.7;5012229.86;1516.12
2731;703492.29;5012184.52;1509.68
2730;703401.95;5011995.65;1349.19
2733;703374.77;5012028.14;1483.82
4782;703347.91;5011926.17;1404.19
4785;703399.16;5011614.79;1290.96
692;703444.85;5012154.76;1502.9
4788;703373.4;5011978.45;1480.61
694;703568.65;5012174.2;1397.57
2745;703530.66;5012315.55;1430.34
697;703388.87;5012043.75;1486.08
703;703400.78;5011976.1;1348.16
4799;703405.07;5011728.28;1363.45
708;703547.99;5012229.79;1519.46
4805;703448.72;5011809.51;1425.58
2759;703491.69;5012186.41;1510.29
712;703532.99;5012233.95;1580.61
2761;703349.56;5011943.5;1461.66
