from_id;to_id
156;70
70;36
36;67
67;16
67;126
16;2
126;84
2;50
2;161
161;121
121;27
121;83
27;91
83;128
83;145
91;128
145;137
145;61
145;130
130;129
129;12
12;176
176;82
82;31
31;132
132;93
93;166
93;8
166;140
8;175
8;0
140;105
105;122
122;115
115;158
158;113
113;17
17;168
168;18
168;30
18;35
30;63
35;40
40;13
63;41
41;66
66;92
0;39
39;58
58;153
153;148
153;117
148;151
117;127
117;107
151;142
151;172
142;75
142;14
172;101
75;9
14;43
14;162
43;42
162;135
42;134
134;98
98;52
52;55
55;64
64;116
116;6
6;3
3;10
10;51
51;102
102;110
110;25
25;169
169;112
112;164
164;150
150;179
179;106
106;147
147;68
68;37
37;22
22;138
22;94
138;99
94;15
99;34
34;26
26;97
97;123
123;60
60;5
5;4
4;90
90;103
103;109
109;53
53;49
49;173
15;104
104;23
23;159
159;54
54;73
73;160
160;1
1;178
178;7
7;38
38;165
165;57
57;149
149;177
177;139
139;100
100;111
111;95
95;59
59;86
86;32
32;85
85;96
96;174
96;152
152;69
69;33
33;11
11;28
28;65
65;72
65;44
72;20
44;143
20;88
88;119
143;144
144;108
108;124
124;78
78;48
48;136
136;89
135;157
157;155
155;154
154;24
24;80
80;163
163;170
170;77
77;131
131;71
71;120
120;19
19;167
167;125
125;133
133;87
87;46
46;29
29;45
45;76
76;21
21;81
81;171
171;56
56;84
101;47
47;79
79;62
62;141
141;146
127;114
107;74
114;118
