from_id;to_id
48;14
14;8
8;45
45;1
1;36
36;39
39;34
34;72
72;5
5;15
15;17
17;7
7;29
29;20
20;55
55;16
16;12
12;2
2;18
2;84
84;27
27;3
3;44
44;79
44;62
79;65
65;22
22;54
54;71
71;58
58;59
59;77
77;63
77;57
63;21
57;80
21;41
41;83
83;10
10;66
66;33
66;85
33;28
85;52
85;0
85;74
28;82
82;62
52;19
0;32
19;11
11;68
68;53
53;56
56;42
42;67
67;70
70;73
32;76
80;9
80;31
9;50
31;26
31;4
50;6
6;75
75;64
64;43
43;40
40;23
23;49
49;37
26;61
4;24
61;30
30;81
81;35
35;60
60;13
13;46
24;38
38;25
25;51
51;78
51;47
47;69
