id;x;y;z
48;507021.69;4775907.54;90.0
14;506992.91;4775916.86;87.88
8;506979.17;4775920.79;87.63
45;506965.37;4775925.79;88.4
1;506963.95;4775929.93;89.17
36;506952.24;4775934.4;88.52
39;506950.3;4775935.35;88.86
34;506947.54;4775934.0;88.37
72;506946.98;4775937.92;88.93
5;506942.85;4775936.34;88.15
15;506927.28;4775940.78;87.87
17;506927.96;4775950.62;88.21
7;506922.84;4775952.48;87.25
29;506918.66;4775952.62;86.74
20;506915.72;4775954.25;85.9
55;506913.55;4775953.24;87.29
16;506911.73;4775954.28;88.18
12;506907.29;4775956.63;88.44
2;506911.46;4775959.67;89.73
18;506911.49;4775959.83;88.67
84;506911.36;4775962.43;90.57
27;506912.2;4775963.3;92.85
3;506914.1;4775967.57;98.42
44;506911.95;4775968.71;99.4
79;506905.82;4775970.69;100.54
65;506901.99;4775972.9;100.69
22;506897.34;4775971.99;100.53
54;506898.15;4775976.57;100.85
71;506895.81;4775977.86;99.72
58;506898.61;4775982.34;100.46
59;506896.95;4775984.39;100.79
77;506889.91;4775984.37;98.9
63;506889.51;4775981.61;98.4
57;506889.12;4775985.24;99.57
21;506892.15;4775975.42;100.08
41;506890.68;4775973.59;100.8
83;506896.03;4775973.69;102.64
10;506897.23;4775972.97;99.76
66;506895.61;4775971.39;97.41
33;506903.05;4775970.35;97.41
85;506890.45;4775973.06;97.88
28;506905.48;4775968.89;97.7
82;506911.45;4775967.42;96.95
62;506911.55;4775968.64;99.08
52;506893.11;4775973.01;96.4
0;506887.74;4775970.26;91.39
74;506882.05;4775966.0;104.74
19;506896.7;4775973.91;95.62
11;506900.37;4775974.3;96.27
68;506905.74;4775973.65;95.12
53;506912.54;4775975.36;95.61
56;506915.7;4775975.97;94.8
42;506919.27;4775977.27;94.8
67;506922.4;4775977.66;96.77
70;506924.49;4775978.55;99.67
73;506926.66;4775975.85;103.96
32;506886.11;4775970.37;90.29
76;506882.4;4775971.22;89.75
80;506888.95;4775987.62;98.6
9;506892.84;4775992.61;95.52
31;506875.5;4775983.75;97.87
50;506893.42;4775997.32;98.37
6;506889.19;4776006.34;98.03
75;506890.35;4776011.37;98.03
64;506890.87;4776013.62;97.78
43;506897.61;4776017.68;98.61
40;506901.24;4776021.44;98.34
23;506903.05;4776024.36;98.16
49;506905.29;4776025.3;98.33
37;506909.98;4776025.4;98.57
26;506872.9;4775980.75;99.55
4;506872.23;4775987.38;98.9
61;506855.16;4775980.12;99.55
30;506841.02;4775978.87;103.36
81;506832.77;4775975.69;104.29
35;506819.67;4775973.14;106.64
60;506811.25;4775978.39;109.87
13;506807.42;4775978.05;108.0
46;506799.97;4775980.04;107.89
24;506870.97;4775997.53;99.44
38;506878.69;4776004.5;96.26
25;506874.32;4776011.48;94.66
51;506868.54;4776016.86;92.39
78;506867.1;4776020.43;90.99
47;506865.31;4776019.04;92.6
69;506861.53;4776017.27;90.91
