from_id;to_id
636;351
351;440
440;763
440;900
763;310
900;320
310;623
320;62
62;105
105;909
909;924
924;601
601;762
762;187
187;508
508;721
721;211
211;395
395;810
395;286
810;169
286;943
169;123
123;758
758;715
715;464
943;414
414;964
964;93
93;638
638;871
871;174
174;407
407;607
607;954
954;785
785;149
149;784
784;970
970;374
374;276
276;630
630;372
630;56
372;345
56;709
345;842
842;478
478;955
955;341
341;694
694;121
121;221
221;774
774;528
709;122
122;577
577;863
577;196
863;2
196;613
2;213
213;309
309;555
613;618
618;197
197;157
157;974
974;41
41;616
616;192
192;396
396;548
396;225
548;495
495;313
313;517
517;834
834;252
252;191
191;557
557;723
557;368
723;716
368;948
716;216
216;469
469;217
217;639
948;627
627;198
198;797
797;288
288;780
780;759
759;965
965;549
549;969
969;905
905;387
387;539
539;760
760;80
80;302
302;648
648;139
139;796
796;925
796;146
925;822
146;624
822;544
544;615
615;287
287;691
624;693
693;851
851;874
851;439
439;691
691;567
567;340
340;817
817;203
203;466
466;356
356;637
637;228
228;267
267;314
314;858
858;510
510;449
449;358
358;802
802;889
802;7
889;214
7;727
214;702
702;232
232;698
698;19
19;775
775;262
262;722
722;712
712;399
399;553
553;285
285;929
929;545
545;458
458;150
727;384
384;246
246;104
246;472
104;710
472;150
710;744
744;304
304;402
402;16
16;148
148;418
418;750
750;61
61;859
859;594
594;255
255;25
25;272
272;741
741;872
872;496
496;294
294;408
408;423
423;743
743;18
18;907
907;215
215;972
972;490
490;38
38;75
75;102
102;764
764;770
770;521
521;77
77;380
150;893
893;473
473;209
209;263
263;168
168;664
664;233
233;856
856;649
649;82
82;789
789;901
901;597
597;498
498;329
329;249
249;199
199;354
354;816
816;586
586;801
801;48
48;640
640;949
640;875
640;957
949;534
875;377
957;708
534;129
129;124
129;11
129;268
124;793
11;394
268;400
793;488
488;690
690;388
388;8
8;335
335;897
394;444
444;669
669;447
447;311
311;306
306;520
520;26
400;781
781;57
57;68
57;891
68;529
891;936
529;238
238;431
431;765
765;220
220;558
558;67
67;670
670;289
936;347
347;717
717;231
231;811
811;85
377;50
50;787
787;752
752;663
752;705
663;507
705;795
507;256
256;879
879;132
132;526
526;277
277;772
772;942
942;27
27;35
35;632
632;885
885;646
646;325
325;652
652;812
812;869
812;790
869;326
790;28
326;619
619;778
778;687
28;20
20;650
795;264
264;434
434;848
848;460
460;687
687;580
580;584
584;804
804;913
913;12
12;503
503;72
72;870
870;677
