id;cswidth;csheight
4959;0.48;0.59
778;3.13;6.26
677;2.91;5.58
9497;5.99;2.63
6760;0.94;1.7
8343;0.58;2.08
5014;2.12;4.69
3716;1.16;3.97
2813;1.96;3.53
2102;3.25;3.73
9071;2.23;2.66
11437;9.19;9.19
14213;7.33;37.25
6453;5.29;5.29
13870;10.76;7.53
9608;11.8;11.8
4167;7.54;7.54
13126;8.8;36.57
4289;23.51;32.95
2827;7.08;2.41
3504;5.43;5.43
9799;2.57;2.57
1871;5.11;1.29
5519;19.65;19.52
12805;14.81;15.3
12392;8.74;7.98
10815;4.9;4.7
2658;8.32;6.9
2903;4.16;2.24
3690;3.72;2.79
14174;5.88;13.69
5686;8.2;11.35
8443;8.16;6.74
10315;3.79;3.79
2500;8.19;4.98
8106;10.6;4.83
6264;8.32;3.11
835;5.03;4.02
3289;5.99;2.67
28;12.4;4.62
1953;21.06;7.0
13574;3.16;2.96
3460;2.6;12.08
8929;4.25;4.25
12521;11.58;8.27
12649;16.95;10.38
13059;5.72;5.72
3;5.92;5.92
3768;9.79;2.73
8312;18.02;10.94
12883;3.99;3.99
9556;7.43;3.44
68;3.01;1.94
1555;6.25;3.56
236;2.26;2.26
438;4.0;3.94
4634;8.59;10.22
14182;4.16;4.16
12603;2.81;8.99
10703;1.94;1.94
705;6.65;5.84
1281;4.63;1.54
9344;6.45;0.99
7669;14.07;6.9
12602;6.1;6.1
8398;6.55;6.55
5984;4.18;0.82
90;4.94;4.94
4760;6.26;7.71
582;3.35;7.38
5966;2.7;6.18
2645;5.85;8.57
592;4.01;4.01
10171;9.8;8.28
4660;16.24;7.95
237;4.78;4.78
10667;8.96;7.73
7175;10.27;2.64
6546;15.55;7.74
8348;5.38;10.14
9778;3.59;3.59
9476;3.32;5.75
13835;7.39;4.29
3578;9.83;8.64
13760;10.02;12.02
4306;4.01;4.96
1067;15.35;3.53
2087;4.52;4.52
9654;13.79;15.6
13260;20.68;6.59
6695;15.63;10.79
9458;5.48;5.48
2673;16.13;4.98
7452;6.39;6.39
12164;4.23;4.23
8687;5.17;2.4
2532;5.42;5.42
10769;7.4;3.41
4879;8.76;8.76
8465;0.43;0.17
13820;6.19;6.19
10339;5.31;5.31
13342;14.89;5.19
11833;2.03;0.24
2228;14.67;14.08
10297;3.11;3.11
5917;13.01;12.85
7004;3.71;3.71
787;3.77;3.68
12343;1.43;0.67
11623;3.21;5.62
4111;3.56;3.56
12387;7.12;8.0
9126;1.8;3.85
12730;4.91;4.64
3076;4.16;2.81
13916;1.97;1.97
6152;6.59;5.72
10459;7.79;4.97
2591;0.41;2.19
14085;3.59;3.59
1803;0.84;2.16
13656;0.48;5.11
11344;0.36;3.19
6347;0.38;3.38
9273;0.18;3.03
8156;0.24;1.41
4795;0.22;2.8
14360;0.3;3.38
6569;0.56;2.86
4497;0.2;5.81
8245;0.62;5.57
59;2.72;3.6
8292;2.02;5.54
2789;0.92;5.29
9092;2.01;3.64
5786;4.03;5.6
682;0.72;3.73
9019;6.4;6.4
7552;4.43;11.54
3138;3.27;4.27
9322;3.57;8.17
4551;3.62;1.06
1330;1.84;0.53
1562;5.83;4.85
6837;3.27;7.62
11855;5.95;6.2
5992;2.72;21.37
11205;0.57;8.66
2154;0.34;4.37
11220;0.64;6.44
5035;2.29;2.29
1506;0.34;2.6
2814;0.55;2.9
7136;0.36;0.58
13258;1.84;1.84
12830;0.53;1.08
324;1.09;2.34
4426;1.36;1.36
9503;2.39;2.39
11655;1.88;8.4
395;0.2;0.93
6930;1.81;4.09
9796;3.08;3.08
1616;8.8;12.2
11630;7.15;5.7
192;3.95;10.14
14293;10.27;14.68
433;9.06;12.49
13926;9.42;15.66
11699;7.49;7.59
4840;5.58;19.82
9993;2.73;12.07
4327;5.36;5.36
9261;10.64;14.93
6757;8.06;18.44
13169;4.69;3.59
13390;6.85;9.79
7930;5.29;10.06
5539;5.61;6.76
9153;3.31;1.89
8441;4.34;1.96
1156;7.49;14.75
10497;8.14;18.59
4907;6.96;18.85
11307;4.09;4.09
6176;6.46;6.46
10816;5.96;5.51
11702;4.54;13.97
3682;6.59;11.1
7033;9.63;6.65
8273;3.78;3.78
8668;6.06;11.21
11651;3.3;15.02
9489;8.91;8.21
10878;5.08;13.26
1070;6.73;14.22
183;10.25;14.7
1939;6.89;19.44
3431;3.61;5.89
12427;3.55;13.03
4848;5.61;10.46
13724;2.19;5.0
190;2.73;13.2
12705;3.91;13.3
6709;4.21;2.81
13715;4.64;10.66
14191;1.12;3.29
2664;3.93;4.88
6404;4.41;4.65
12193;6.78;7.68
10158;2.95;2.95
11703;5.46;11.23
3619;7.33;8.44
1307;5.88;6.29
7674;4.19;1.97
10478;5.29;4.25
10925;4.95;5.92
8593;2.98;4.23
4474;0.09;1.14
3102;4.45;4.45
4625;8.84;13.42
947;11.56;17.24
6606;2.74;2.74
3343;3.54;4.0
7200;0.3;1.63
179;3.08;1.46
13938;12.43;15.74
12122;5.06;11.47
7788;5.67;10.49
4872;5.39;5.39
9051;8.54;10.67
5308;6.8;23.21
5763;3.18;1.57
13465;3.66;3.66
8703;13.84;13.84
6243;11.3;8.18
2675;16.18;12.31
6570;9.47;2.62
7648;5.43;14.5
11157;5.94;11.24
9808;3.23;10.32
10358;1.97;4.84
9289;2.22;2.22
5706;3.94;10.12
1676;4.24;4.24
10270;6.77;11.99
12225;6.95;13.07
476;6.08;12.74
9606;3.53;6.74
13859;1.66;4.96
4434;5.52;10.4
13652;3.94;6.74
2153;4.07;8.14
4492;5.02;6.26
4761;14.06;4.77
13351;1.19;1.19
1109;1.66;1.66
1923;2.24;2.45
5634;0.82;1.35
3063;3.94;8.78
3467;3.13;3.78
12078;2.88;1.52
13890;1.64;1.61
6211;1.94;1.94
2134;3.06;2.37
1669;1.84;1.84
1834;1.71;1.71
5213;0.92;1.21
7221;1.66;5.35
10072;1.89;3.86
13247;2.04;5.31
4050;2.3;2.99
12858;1.88;1.88
9353;10.99;9.11
627;0.09;3.11
7864;2.66;2.66
3670;4.56;3.19
5392;2.01;2.01
9065;2.31;3.26
10844;3.88;2.27
2199;1.89;1.89
2699;1.98;1.98
12028;0.17;0.3
528;3.78;8.26
2139;2.53;6.83
12645;1.64;4.24
5254;2.08;2.6
13614;0.74;0.83
10587;1.71;1.71
1820;0.92;0.92
4611;2.04;2.04
8808;2.27;2.26
11046;1.91;2.83
8119;2.01;7.55
12345;1.87;5.33
4750;2.97;1.97
349;18.65;18.52
13940;18.23;19.93
498;2.43;2.53
890;4.11;3.15
3094;0.98;0.98
6299;1.19;1.07
3474;2.75;3.11
14328;1.92;3.45
362;3.23;3.85
4178;0.15;0.08
7483;2.08;2.67
9783;1.68;5.74
9744;2.55;2.55
1350;2.69;2.69
2681;2.99;6.29
12102;2.41;2.41
7885;2.43;6.49
9812;1.8;1.97
5396;3.53;2.45
2757;2.78;4.59
2294;1.29;0.85
697;1.79;1.79
3790;1.35;1.19
1898;1.48;2.08
13044;3.18;4.38
9118;1.1;1.1
3664;0.4;0.35
3684;1.31;0.51
12391;1.0;2.93
8214;0.83;1.84
4027;4.99;9.56
14186;4.13;2.4
3399;1.33;4.4
3883;1.41;1.41
2124;1.93;3.61
10035;0.53;2.04
5209;15.59;3.1
10191;10.2;5.38
2142;4.05;20.22
12302;5.83;5.83
10513;3.62;6.07
11369;7.45;2.09
5527;9.61;5.92
6062;5.22;7.99
3967;3.0;4.73
404;3.04;7.66
6489;1.95;8.25
2091;7.83;13.11
3658;4.08;8.56
12444;3.11;12.61
4227;4.86;4.86
4745;6.24;10.86
11578;3.65;3.65
13440;3.87;3.87
13253;3.79;16.17
5974;3.81;3.81
1317;2.04;0.09
13771;2.46;6.78
12437;4.96;17.17
11293;2.42;16.87
8570;2.29;2.29
6141;1.83;3.31
6066;1.71;4.47
1600;1.52;1.52
3703;2.12;0.88
9158;1.08;3.11
4993;2.73;2.73
1741;3.57;3.57
8296;1.08;10.54
6486;4.09;6.79
13699;1.4;1.4
4831;4.55;1.31
3520;3.99;3.99
3328;2.47;16.23
10589;3.75;6.22
7834;1.59;6.94
579;2.48;7.77
11555;4.38;5.87
8378;2.21;2.5
2489;3.58;2.96
4104;2.76;2.33
4971;4.8;4.8
5134;5.15;5.15
6472;7.76;21.01
4062;7.43;19.43
230;2.0;7.77
13345;3.63;5.2
5743;9.54;6.62
6717;4.74;6.92
2363;1.09;1.09
3124;5.41;8.92
2411;2.94;2.94
1649;3.41;7.76
9115;1.62;1.62
5482;2.25;1.27
6174;1.98;7.43
4659;0.65;1.3
1122;9.15;1.96
13320;5.9;11.47
3395;4.52;4.52
4396;3.37;8.01
2772;3.31;2.62
6547;2.99;2.99
12557;0.11;0.01
7284;0.77;2.39
6953;1.32;1.28
7679;3.72;2.1
12420;1.55;1.55
137;0.14;0.92
4807;1.91;7.62
12543;2.12;6.44
10289;3.49;3.18
4418;1.09;6.82
1836;1.8;6.63
5075;5.28;13.68
11226;3.5;3.5
11311;3.39;10.64
10850;0.7;13.74
5077;1.48;2.64
3809;1.92;4.15
12013;2.33;14.28
11787;3.53;3.53
4784;2.73;2.73
2625;4.98;6.92
7523;2.86;6.95
1255;0.41;0.59
2614;1.35;2.22
14160;0.42;1.38
799;0.13;1.89
3627;0.35;2.38
12668;2.53;5.57
296;1.71;1.71
3647;3.02;3.73
14312;1.49;8.52
8658;2.88;2.88
7908;0.55;0.32
13579;0.11;0.9
9447;2.08;2.74
1082;0.24;0.21
9643;0.13;1.84
13981;1.72;6.38
707;6.12;7.98
10116;3.58;3.34
12356;11.43;8.33
1994;1.36;10.12
13480;0.45;8.51
4641;0.85;13.4
6325;0.89;4.23
12659;0.64;0.5
11016;1.13;1.07
10194;1.12;1.37
2760;0.17;0.82
9175;0.12;0.86
8682;0.68;1.14
1710;0.67;1.29
2546;0.16;1.27
14246;0.38;3.32
