id;cswidth;csheight
648;2.5;2.5
944;4.11;3.18
4069;2.2;1.2
2739;7.93;5.72
3098;2.68;2.68
3023;1.77;1.77
1427;3.96;3.96
2473;2.11;2.32
267;3.69;3.69
2649;1.34;2.75
1548;2.89;6.32
224;5.67;5.67
3607;8.77;17.86
924;3.63;14.35
1203;4.99;8.74
1965;6.36;6.36
4168;11.44;21.26
972;6.72;6.72
1518;7.61;18.9
1816;22.65;34.52
3379;8.39;62.49
133;15.49;18.29
1941;15.35;34.43
2706;11.31;14.33
553;4.26;12.74
1335;5.02;1.09
2950;1.71;4.36
2936;4.82;49.42
2220;6.37;6.37
3063;3.12;4.88
3985;1.73;3.85
1365;0.93;6.74
1725;1.47;5.99
4203;1.88;2.01
895;1.36;4.36
1955;0.05;0.14
3790;1.66;7.22
4391;0.38;0.38
4214;0.99;3.28
1658;1.3;0.34
253;0.44;0.12
4148;0.7;2.48
494;1.59;0.8
4161;0.22;1.69
798;1.71;0.35
3632;8.78;2.21
2052;1.2;2.63
1502;7.12;3.88
2388;5.05;24.19
2940;2.94;10.73
1698;0.58;13.51
1894;7.75;6.47
428;10.33;10.62
2718;2.3;1.85
3692;2.55;2.87
1490;1.69;7.21
1452;2.08;2.6
151;5.8;14.83
2177;3.83;7.27
63;2.16;4.95
1563;4.87;21.54
2605;8.66;19.09
2221;6.59;6.59
2343;6.22;5.09
2121;2.42;4.6
80;0.11;0.18
2106;3.06;2.9
2136;0.84;1.04
608;2.84;5.6
3194;2.32;10.61
2947;4.12;4.42
4043;2.44;3.17
1174;5.31;3.32
898;5.89;9.26
770;8.78;6.95
3693;2.64;3.15
2840;2.1;8.07
1912;4.18;10.32
2969;2.88;10.81
2919;0.38;8.85
899;1.76;0.59
3877;3.17;9.33
3237;0.85;4.75
2195;0.13;0.95
1949;0.9;2.47
1635;3.0;5.32
3883;4.16;4.16
2501;4.81;4.81
628;4.81;13.53
1843;3.26;8.1
943;2.37;9.26
3223;4.17;6.78
2760;4.22;6.3
1426;3.04;1.84
3018;0.86;11.5
708;7.41;2.7
3251;3.83;5.46
2756;9.36;7.91
367;3.97;9.95
543;6.75;2.87
2582;7.14;5.77
629;3.99;4.48
335;9.61;11.02
2364;5.18;5.18
1445;13.87;23.77
1528;3.19;3.19
2643;4.46;13.47
3265;3.34;3.34
2336;8.11;10.99
2463;11.5;21.66
3526;5.02;5.02
8;1.51;1.48
1137;0.81;2.02
2151;12.0;12.0
3580;10.57;10.57
4409;5.36;9.0
468;6.71;17.33
3759;1.93;4.23
1902;2.66;4.36
974;4.77;5.85
3123;5.19;5.8
2507;3.29;3.29
2378;0.53;1.1
3316;2.05;1.65
1575;0.36;2.18
399;4.35;4.35
3615;1.96;6.13
3361;5.78;3.34
1088;12.04;7.88
748;2.86;5.95
2505;6.04;3.78
4137;7.06;11.4
2432;2.31;2.31
438;2.5;5.63
3118;1.77;3.05
1244;1.34;4.84
314;1.35;4.8
2069;0.5;3.15
4338;0.83;3.82
1268;2.4;3.05
2610;1.32;2.99
811;4.4;3.81
2792;1.02;4.96
310;4.9;5.17
2206;4.85;14.49
495;7.0;7.0
1241;1.13;4.2
1982;3.46;3.33
1504;1.83;3.07
698;9.71;14.21
2560;9.29;9.29
786;6.76;25.62
847;10.35;5.37
3374;2.7;19.84
4162;4.32;13.19
996;6.7;5.35
2353;5.31;5.31
4279;5.81;0.69
860;5.79;5.39
3255;12.83;3.88
4044;9.34;13.4
2349;0.79;1.88
3442;1.93;1.93
3920;1.27;1.27
1884;5.41;1.49
2985;5.5;1.71
3126;4.77;3.54
1309;2.03;12.09
3848;18.94;15.65
2166;24.26;24.32
975;1.87;3.57
4075;22.3;10.4
650;7.29;7.29
4384;9.13;9.13
3986;14.02;4.11
2322;23.72;19.06
572;9.47;9.47
2455;8.36;14.33
2728;0.65;0.65
2591;2.45;2.45
3089;3.59;2.0
3498;6.66;17.75
1748;6.91;3.17
2498;6.21;15.43
3143;4.54;12.73
487;3.2;4.37
720;1.94;1.59
538;8.26;7.27
230;1.27;1.27
1472;3.87;0.63
3269;1.62;2.53
4377;5.3;4.96
2357;11.96;11.96
131;43.77;36.38
204;3.31;3.31
1450;9.01;14.68
3112;24.75;30.13
102;7.72;7.72
646;7.01;7.01
3777;10.48;6.76
4166;3.24;4.57
2918;31.05;10.96
2318;21.4;20.3
2283;2.94;1.9
1541;7.67;11.26
976;2.11;10.98
1943;5.23;4.94
149;0.42;0.75
1907;5.45;18.93
492;2.2;8.31
2037;2.21;3.24
2218;5.22;8.01
414;2.09;3.83
1936;6.85;19.33
2014;24.22;17.44
2149;13.86;18.91
4263;13.36;2.58
4066;4.16;2.1
1341;2.53;4.76
3119;0.73;4.34
97;5.48;7.0
254;4.27;3.68
459;16.3;17.44
3958;7.95;10.9
3548;10.9;13.87
880;9.78;7.54
3936;10.69;10.66
3051;27.21;16.81
1245;17.69;6.1
2073;16.28;22.02
861;8.93;9.07
4260;13.84;13.84
3258;36.64;61.65
3204;19.96;10.95
2574;1.36;14.76
1664;23.8;41.72
2213;15.57;24.82
389;27.49;51.75
2771;8.87;8.87
563;16.06;7.71
1759;6.6;3.65
2586;13.63;11.84
3006;11.87;6.72
1542;20.0;10.13
4393;10.46;7.94
3518;4.96;4.96
1890;6.13;3.1
1668;9.36;7.02
2532;6.87;7.09
3808;10.18;7.64
1646;16.19;10.63
3661;2.39;5.36
1058;5.85;5.85
3153;15.53;11.15
2647;4.73;5.57
1590;20.51;14.48
2017;5.99;21.07
3464;7.28;17.55
2057;4.94;13.81
1700;4.89;9.19
1612;5.01;3.77
1500;2.25;2.25
3785;8.23;8.23
3923;28.58;23.82
3021;6.71;10.91
1;2.63;4.2
4382;3.92;5.29
2134;2.87;2.87
1769;2.49;7.35
1996;4.03;11.23
3449;3.08;12.84
2951;8.62;11.23
1694;9.79;5.33
1022;6.46;9.12
1556;4.17;1.11
3727;3.5;11.3
3450;2.4;5.9
2145;5.99;13.86
1194;4.89;4.89
354;11.64;20.55
2433;1.73;1.73
2925;13.58;19.18
747;11.28;14.29
394;8.45;8.05
228;16.95;11.0
1515;13.89;4.79
3222;12.66;6.22
2372;5.42;7.91
661;6.74;18.1
1159;9.47;8.28
4141;20.06;5.12
3229;8.47;26.17
852;6.05;12.01
3115;12.07;19.88
4321;28.11;35.83
752;6.72;29.11
1283;17.11;23.57
3513;26.68;16.56
4304;7.26;7.26
15;3.97;7.81
3335;7.19;0.73
4247;3.54;3.54
906;2.33;10.62
3678;2.19;4.95
867;2.57;1.46
231;1.67;2.41
1436;1.52;2.99
1838;3.27;1.48
744;3.6;2.45
3792;9.09;15.94
3257;6.15;6.15
2186;8.87;36.23
638;5.91;5.95
1236;9.78;21.8
2130;3.53;9.26
903;3.53;3.53
1837;7.34;15.1
2237;3.36;4.41
2594;9.1;9.1
2109;2.76;8.25
385;2.37;2.37
3369;2.13;2.13
220;3.31;2.37
3855;1.69;6.48
3306;2.57;2.57
1589;2.36;1.25
4376;1.08;0.77
214;0.82;0.5
2143;1.66;7.89
931;3.24;3.24
4322;0.68;1.76
4232;10.69;10.69
802;16.48;25.7
2516;26.18;17.08
2190;13.23;26.8
336;3.36;3.36
3730;11.92;31.55
1401;10.27;4.43
1977;9.45;21.36
932;6.33;18.01
3342;5.32;6.25
1051;4.4;4.4
3381;2.09;3.83
2825;2.2;12.12
4241;1.2;1.19
2018;5.9;5.9
2870;15.55;26.27
2020;4.1;10.91
1465;15.84;7.15
2785;5.39;5.39
4362;0.91;1.25
4080;7.27;21.59
1717;3.07;4.44
3163;1.37;1.92
3175;2.78;5.47
2740;2.95;2.95
1850;9.24;25.6
1175;3.28;3.26
88;5.33;7.74
518;10.34;14.44
1747;3.15;7.0
2403;1.06;2.73
3477;4.43;15.35
3030;2.41;6.31
2167;3.41;5.31
4422;4.67;17.17
822;9.6;34.82
619;8.44;8.44
2998;1.47;0.56
2153;3.03;3.89
1421;19.76;13.91
2160;3.26;1.56
3495;1.82;1.36
337;1.58;0.5
4311;9.12;8.13
4417;7.77;3.46
409;10.18;3.69
1499;2.61;8.68
469;1.46;8.1
4028;0.92;6.72
1101;4.3;23.23
39;22.15;21.99
3356;14.87;7.18
4041;37.59;1.29
325;12.78;8.18
2284;7.58;7.58
3285;1.15;7.32
1158;7.07;12.0
1161;14.84;14.79
3995;0.27;0.96
3231;2.92;2.12
2804;1.61;3.83
29;1.83;6.37
2571;8.53;11.09
2786;9.17;6.75
813;10.57;29.77
2304;5.75;5.99
1381;7.79;7.79
927;8.92;8.92
1593;4.21;7.97
3444;11.16;35.77
1323;5.61;20.36
2524;1.04;2.04
269;2.06;2.06
441;7.85;19.54
431;3.48;5.24
346;17.82;23.53
2637;3.71;3.71
2641;16.02;29.28
1491;8.52;18.74
1786;18.78;11.72
580;11.59;17.08
1009;4.35;9.86
1619;6.96;8.27
1928;2.33;30.42
1916;6.98;6.98
855;4.85;1.45
2703;4.94;7.6
2487;3.51;13.95
1729;7.67;2.33
3596;5.46;3.44
1985;8.61;2.48
3809;6.64;7.76
3623;6.04;2.76
940;8.83;3.04
62;5.3;3.69
40;2.69;2.69
558;2.97;10.57
827;2.65;2.65
730;7.74;4.25
4170;6.22;3.81
1944;14.91;1.44
3096;12.43;3.86
2999;19.23;11.02
3182;2.18;2.18
796;5.14;9.03
790;3.77;7.09
3823;3.85;6.93
1514;10.88;6.53
1420;9.83;10.06
3585;7.52;11.33
3993;5.49;6.5
833;7.75;9.61
1972;12.41;10.79
2107;15.16;14.91
2392;6.43;12.34
579;11.1;21.11
3801;3.17;6.69
1582;14.42;11.92
2048;3.45;10.09
1543;8.82;9.79
695;12.79;5.7
3525;7.65;5.17
2878;6.46;4.79
2198;3.3;3.3
2236;6.23;1.01
3062;4.24;3.09
2019;2.1;2.1
511;3.53;1.66
2828;5.89;6.53
1509;3.34;2.86
2027;3.95;3.12
3644;3.23;9.38
1620;1.19;1.06
3520;1.98;2.79
1182;3.73;1.89
3782;2.82;1.89
949;2.95;2.71
2491;2.81;4.47
3914;1.46;1.46
2818;0.67;1.07
1208;3.49;8.5
2173;4.94;3.78
4307;4.9;4.71
2607;3.52;5.13
3383;7.31;17.92
2955;5.01;3.41
1081;3.45;6.22
3216;6.22;7.13
1920;6.29;4.16
2729;7.02;9.66
209;4.58;9.47
1260;3.52;7.47
3876;4.86;7.44
2255;4.72;5.82
1223;8.96;3.09
3411;12.42;6.09
4105;2.11;2.02
3454;5.18;4.73
2684;4.97;6.01
3776;6.19;5.65
1322;6.94;6.97
3998;4.39;4.25
322;5.49;6.93
1407;1.67;1.67
3120;2.71;2.62
1570;3.7;0.35
4135;2.98;3.43
3476;1.79;1.5
3113;6.14;4.15
523;5.23;5.23
1065;3.89;7.02
417;8.25;11.04
627;3.89;1.83
2687;3.36;4.51
1697;7.02;7.02
35;11.42;32.28
420;3.73;4.26
2184;3.35;4.08
918;1.74;3.52
2034;7.71;2.07
2013;6.35;5.07
303;5.24;2.69
304;1.16;0.34
1476;2.29;2.29
3679;5.15;5.5
3590;1.24;5.14
2848;4.85;5.15
192;4.56;5.09
1112;7.17;5.66
4067;6.14;6.6
1494;5.06;4.82
865;2.09;8.02
1249;2.68;3.16
1527;2.01;1.63
2627;2.89;2.05
2084;0.88;2.81
573;7.56;7.38
1017;7.47;2.52
4188;4.89;4.61
2176;6.1;6.79
755;4.25;4.27
3139;6.08;5.85
2142;4.19;2.18
2614;8.41;4.43
507;6.94;2.88
2348;2.81;5.7
3737;4.82;5.58
4082;4.36;4.51
1132;4.43;4.43
711;2.78;2.15
3866;2.73;6.95
916;0.56;1.34
577;0.28;0.69
2201;0.64;1.27
2970;2.18;3.52
120;2.57;1.08
427;3.9;0.63
3732;4.57;0.04
235;1.04;1.55
3441;1.32;1.3
4074;5.22;10.51
1647;2.93;2.05
3105;1.48;3.94
2292;2.33;4.99
2291;2.56;1.91
2015;6.95;2.66
1366;4.72;1.12
2905;1.54;7.42
1736;13.07;3.86
3656;1.81;0.82
3425;3.49;7.05
656;6.3;5.8
2558;7.93;7.03
2373;10.0;5.27
4160;3.1;3.86
762;5.87;5.87
3259;5.48;2.6
3752;2.37;4.03
4237;2.4;3.32
2704;3.28;2.76
1063;2.45;3.9
3410;3.6;4.26
1400;0.86;2.13
689;2.84;7.75
1817;4.2;3.21
2465;3.48;6.56
4308;6.4;10.86
1318;9.23;7.87
946;28.83;43.12
1820;0.19;31.5
1237;11.28;28.92
3535;8.19;19.69
2323;7.12;4.89
725;6.54;6.77
2953;1.66;3.12
4402;7.45;4.31
3626;7.49;7.49
242;4.45;15.03
3799;7.26;14.45
3795;5.03;13.85
801;9.64;4.03
4236;3.61;9.13
977;2.61;2.61
1669;3.61;4.69
213;6.75;4.56
2476;9.88;3.37
3428;2.42;5.64
4371;4.82;5.86
2293;3.03;4.84
3140;0.55;1.28
1078;0.79;0.8
2688;2.53;1.29
2602;3.51;1.47
3302;2.25;3.04
2787;0.47;2.79
3682;2.2;3.14
2101;3.96;0.78
3279;5.51;2.38
2518;6.43;4.19
1463;0.63;0.18
1144;1.05;1.54
4097;1.47;1.22
2204;2.44;1.51
2058;1.29;0.52
1621;3.16;3.16
2216;0.88;0.94
1690;3.32;2.79
4110;1.22;1.89
965;1.71;1.18
1391;5.18;5.18
3658;4.97;3.36
4164;3.48;9.1
402;1.1;1.29
3315;3.98;3.98
93;8.72;19.23
2460;5.58;13.25
4383;6.14;17.04
66;2.47;0.71
4175;25.05;26.56
2099;9.98;9.98
2697;7.09;20.37
3927;1.16;3.61
1597;2.98;12.61
2038;14.25;10.7
1879;4.6;12.09
942;4.32;4.32
907;5.85;19.56
892;6.34;4.93
866;9.15;11.35
888;5.54;15.4
1524;5.42;15.72
3486;4.57;4.57
3358;5.49;13.78
853;2.46;7.86
1655;4.85;17.22
11;4.08;5.38
767;4.4;5.68
4125;4.32;4.32
3773;3.82;3.82
1639;3.79;8.18
2434;10.46;16.13
1839;6.14;8.29
4343;4.34;16.17
2564;3.2;15.66
147;5.13;16.3
1064;2.62;2.33
705;2.89;2.57
1872;4.16;5.87
2386;2.48;1.85
1397;1.91;3.11
2879;1.64;8.93
424;2.96;2.96
2939;4.02;11.08
671;6.02;9.67
33;8.59;10.61
2595;7.34;14.01
2147;4.14;10.63
488;2.29;2.92
3191;1.39;8.48
3167;2.29;7.01
2090;4.6;1.8
3551;4.18;7.85
2877;4.06;4.97
2139;1.41;5.33
3007;3.36;3.13
1561;2.86;5.37
4195;3.35;5.24
1892;2.71;6.17
834;2.45;1.06
2832;1.48;1.53
324;3.93;8.24
1205;4.9;8.99
3371;7.24;13.89
2461;3.9;2.02
2456;3.96;2.14
2835;1.96;3.58
125;11.26;5.02
404;2.93;7.78
4330;3.14;27.33
291;11.06;15.62
456;10.79;12.63
2937;0.79;2.66
1910;2.8;5.7
454;3.68;8.21
2179;16.38;25.6
4288;5.38;5.38
2830;12.27;31.82
3934;4.73;11.33
132;15.84;36.03
2556;2.92;15.18
1442;5.21;32.43
2119;3.44;28.16
3360;2.54;37.31
970;4.92;3.71
3570;3.69;4.26
3451;1.93;8.8
2193;2.51;1.28
1446;3.29;4.87
1053;8.71;8.97
3130;4.11;1.17
893;9.4;3.32
479;1.06;0.81
2752;5.54;2.78
264;4.46;8.9
2335;4.2;35.66
3538;2.0;15.02
3321;1.48;1.35
1777;0.05;4.76
3527;4.12;8.53
2059;1.28;2.63
82;4.57;3.89
3845;3.6;3.06
2923;1.82;1.38
1255;2.56;4.57
2111;2.36;6.72
1195;1.14;3.82
2790;1.96;12.73
172;1.93;6.57
123;5.13;29.28
2306;2.58;2.58
2475;2.83;8.45
2379;6.7;2.85
2352;5.75;5.75
2091;5.45;5.45
1617;7.78;7.78
816;5.75;8.39
1990;8.39;7.69
1687;1.91;4.2
1187;2.09;2.4
956;7.34;7.34
4036;6.59;12.19
491;4.87;10.29
2709;7.3;12.61
3330;7.22;4.21
4286;2.54;2.3
238;2.31;7.93
3622;1.54;3.98
2915;1.31;1.27
1508;7.24;2.75
2200;13.83;1.48
3099;12.54;7.26
4324;9.23;3.83
1761;12.02;8.97
128;1.49;10.88
1227;0.82;4.16
3303;14.47;14.47
3080;13.98;24.77
1092;29.08;17.74
1122;12.09;23.55
3385;12.03;34.85
1751;33.06;43.29
2214;23.31;17.6
3322;7.54;12.92
3856;7.03;12.75
3983;6.78;28.37
2118;12.49;26.71
193;3.74;3.74
1782;4.38;11.81
666;12.33;105.61
2295;6.76;12.97
1037;3.42;4.38
1270;4.75;0.26
1854;7.43;19.31
1844;27.2;26.74
1935;6.57;6.57
1829;9.03;24.26
1123;6.64;6.64
3729;7.94;23.54
717;5.27;6.5
1836;6.61;6.61
2219;7.27;6.35
262;3.02;5.29
225;1.94;2.89
4123;7.19;3.75
2536;6.34;7.03
3943;2.94;2.45
1913;4.38;8.65
3462;7.31;8.47
1428;7.07;11.96
982;1.98;6.28
2429;4.19;1.72
3230;2.47;4.15
844;1.73;3.62
1654;3.82;5.41
1057;4.01;2.14
2655;1.68;5.62
1094;3.66;3.99
1364;6.03;16.68
2004;3.19;4.88
240;5.63;5.63
509;8.35;28.62
4342;1.01;3.79
3621;5.41;6.96
4000;5.32;30.23
4027;5.54;5.54
2868;5.75;7.45
1212;3.8;3.94
1535;3.58;11.95
1810;3.2;9.62
2092;5.37;13.91
3974;2.15;13.26
3341;0.69;8.62
2050;3.13;3.59
1292;2.67;3.08
871;0.39;3.16
2410;1.85;3.19
3634;2.26;3.83
4360;1.86;2.91
2859;6.54;3.31
2971;1.53;6.98
1200;1.56;16.89
4038;12.25;15.5
4347;4.89;3.82
3420;3.92;38.05
1622;1.62;9.76
2074;3.34;1.11
1954;1.79;1.5
1492;0.83;1.36
3202;0.76;1.37
3025;2.71;3.81
3875;1.61;1.2
582;2.01;2.01
2315;2.38;6.99
2799;5.14;10.77
2623;1.44;7.38
1206;5.46;6.88
3680;4.26;7.48
2522;4.72;3.59
256;0.17;0.51
3533;0.12;0.66
1179;2.64;3.25
2026;3.73;2.09
2125;6.48;16.18
726;2.7;21.07
2032;3.67;12.18
3310;3.48;23.45
739;5.48;4.46
1594;5.54;5.46
968;7.0;7.72
2398;20.15;3.54
3681;3.77;3.77
2693;3.72;26.02
171;2.12;2.12
3640;1.71;3.22
1610;1.15;2.04
3142;3.39;2.28
3917;0.77;1.35
4219;5.39;5.76
683;2.05;4.6
3864;3.73;2.89
740;1.97;2.85
3362;3.56;4.21
2849;2.13;3.27
3397;0.48;3.29
3072;4.04;2.33
3300;1.85;1.85
2402;1.93;10.09
299;4.33;4.33
2412;4.21;3.23
407;4.56;1.35
43;12.19;2.89
54;15.35;14.81
1360;2.27;2.27
4204;3.16;3.16
2301;3.82;2.5
4200;4.63;19.04
3935;0.31;0.5
2869;26.97;20.33
1023;9.98;9.98
1980;8.55;11.2
782;20.22;25.94
3147;8.14;13.08
3121;3.57;8.62
3556;1.81;1.26
1873;4.15;4.54
2824;3.58;4.05
2910;1.34;1.44
3351;4.54;1.78
2542;3.69;1.07
989;2.29;2.6
2702;0.03;0.01
3154;7.8;7.83
2528;1.92;3.92
872;1.62;1.66
3704;3.83;4.7
4032;7.23;8.57
987;2.07;2.07
3869;1.86;3.77
2957;3.0;3.0
4290;3.29;6.6
1361;4.5;7.08
4134;4.04;2.08
1831;3.09;1.96
143;1.86;2.06
146;1.45;0.92
2890;4.64;6.42
2462;3.16;4.04
2278;3.95;3.95
2104;4.39;4.39
1501;10.57;18.62
3431;3.51;4.62
99;12.41;19.1
2715;10.62;27.43
2981;13.47;14.23
1963;5.02;18.14
3277;2.72;2.84
978;5.97;8.59
1699;2.56;0.79
660;3.93;9.33
4001;2.36;9.1
4207;1.75;1.75
3467;1.33;0.79
1473;13.17;29.01
3652;4.83;4.83
3894;10.74;12.44
3948;6.67;13.35
3056;13.88;6.97
2229;10.3;13.39
412;3.97;25.41
1800;7.05;2.62
285;12.98;32.39
2325;13.15;34.47
4413;5.18;20.09
2872;5.83;1.73
3666;4.4;11.82
2660;4.98;20.19
2397;3.16;11.12
14;5.3;20.27
3603;5.35;31.26
587;11.48;20.48
3084;11.55;30.94
1719;8.08;29.01
2889;23.04;30.17
3509;5.03;25.69
3835;2.33;24.3
26;7.22;47.38
3772;31.58;44.67
2001;37.98;42.03
432;26.83;26.12
3688;14.1;21.25
4100;25.68;52.53
2317;36.28;27.11
4029;13.32;32.0
288;32.82;35.29
1102;7.76;27.62
1857;13.25;38.35
3125;24.19;26.27
2621;23.45;16.35
1970;6.98;40.66
3241;35.72;54.76
1959;38.04;39.86
1133;24.35;42.37
1701;19.67;25.64
1332;19.03;72.8
3628;6.93;12.32
1076;23.68;40.2
3702;4.86;10.8
902;21.95;12.16
21;33.52;15.62
4005;3.0;1.18
1670;2.83;2.83
2578;2.41;2.45
1808;5.59;3.7
3455;3.55;4.59
4040;2.17;2.84
3733;8.13;1.9
3238;8.52;12.05
47;3.93;8.59
2549;4.86;6.44
4390;2.9;8.37
1378;0.4;0.81
1632;1.67;0.37
973;0.45;0.84
3043;2.24;2.24
734;5.14;4.99
4119;3.8;4.81
3052;10.3;5.0
1099;4.48;3.67
3971;3.86;3.77
825;4.32;5.03
3559;2.82;3.19
3240;6.8;3.14
22;2.08;1.84
2154;2.06;2.3
4145;1.78;1.78
4292;1.04;2.97
754;2.66;0.72
4180;0.29;1.29
384;1.6;2.42
3091;2.24;3.29
3763;3.86;8.78
198;0.41;0.61
657;1.46;0.55
1097;3.18;9.94
3271;4.13;1.54
2871;0.99;1.9
2269;2.54;5.21
1475;2.52;1.0
1918;3.26;1.02
2537;1.42;2.33
999;1.57;6.0
1927;1.93;6.06
3012;2.49;6.11
615;2.39;4.75
293;0.88;1.56
2986;4.19;12.44
2045;5.71;6.36
4401;10.06;2.59
3769;3.37;3.37
2996;5.51;6.57
1915;3.23;2.25
1086;0.38;0.59
4375;3.13;11.69
4101;0.54;1.54
3567;2.21;8.12
3108;1.67;1.05
2642;2.86;1.76
2572;1.34;3.62
3412;4.07;4.69
2738;3.14;2.88
2979;4.21;3.71
4202;0.87;3.75
4282;2.01;3.1
2332;3.53;13.78
1706;4.5;10.2
3849;1.96;3.63
604;0.27;2.55
1613;0.48;2.04
2656;1.3;1.63
1026;3.1;6.21
1883;3.39;2.88
3418;1.0;3.01
2054;1.68;1.22
1984;0.98;1.21
1148;3.79;2.35
1776;2.79;2.79
3650;1.16;1.06
3129;2.07;2.07
2260;1.44;2.93
2354;2.79;6.7
535;5.05;15.89
210;2.21;2.15
2721;1.36;3.52
733;1.84;2.77
1811;2.11;3.49
2217;1.67;3.41
3867;2.4;1.13
4047;3.42;1.39
1277;3.84;4.33
1392;4.9;1.84
2782;1.54;1.29
2553;2.83;1.84
3291;3.9;3.0
2215;3.65;2.36
1825;4.58;6.18
3116;4.83;8.2
338;2.25;4.0
2749;4.0;4.31
1181;0.99;2.74
2815;4.41;2.56
55;4.12;6.24
4139;2.35;3.31
115;0.99;1.14
2137;0.28;0.76
2802;1.37;1.32
1986;0.22;1.54
4083;0.16;1.27
3281;1.23;2.45
1198;3.56;3.38
4274;2.34;2.64
3205;4.97;3.39
2873;5.06;9.83
364;4.14;4.14
1042;12.56;25.73
3898;11.46;16.69
3662;3.43;7.67
3530;7.57;12.03
3447;9.53;9.53
3933;5.73;18.56
3101;2.54;2.54
3647;3.42;1.36
2066;4.92;1.7
2860;3.18;1.9
1685;1.17;0.77
2659;2.14;2.14
781;1.3;1.3
106;1.12;0.77
183;2.23;2.45
1128;6.06;20.07
3158;5.82;11.81
496;8.07;5.07
4245;5.5;5.5
