id;cswidth;csheight
1580;0.91;0.96
595;1.32;1.54
950;1.69;3.15
991;0.58;1.48
1231;0.8;1.11
1223;1.11;1.11
743;0.74;1.43
871;1.08;1.19
463;1.03;3.69
5;1.93;1.26
1304;0.96;0.61
300;1.86;1.86
794;2.33;2.36
132;1.17;0.62
1696;0.85;0.85
241;1.51;1.42
993;2.5;2.5
890;2.97;1.35
1492;3.4;3.4
1593;5.38;6.08
1065;3.69;3.93
1692;4.68;5.43
352;5.51;3.31
1478;2.81;1.03
339;0.12;0.4
1262;0.54;0.54
1348;0.2;0.63
1295;0.64;0.4
476;0.21;0.65
293;0.2;0.6
260;1.1;1.1
242;0.84;1.41
1773;0.93;0.93
159;1.43;0.96
1190;1.02;1.57
263;1.21;0.14
913;2.08;1.38
632;1.27;3.68
773;0.93;0.73
1332;1.88;1.88
581;1.05;0.36
636;0.52;1.87
193;0.18;1.2
951;0.17;1.07
1181;1.22;1.22
580;1.69;1.44
1712;0.62;1.06
1578;0.68;0.49
534;1.34;1.14
1233;0.13;0.34
1663;0.29;0.81
785;1.65;0.58
1161;0.99;0.88
666;0.91;1.1
1401;0.99;1.07
1601;0.55;0.26
1352;2.13;1.04
760;8.13;3.98
1202;2.49;4.87
1395;4.32;4.32
1589;3.59;3.59
1458;9.34;3.36
28;2.78;3.82
443;7.21;5.8
1682;3.64;3.64
177;1.34;2.38
59;1.79;1.79
1144;0.4;1.42
278;0.83;0.46
735;1.15;2.26
1215;2.48;1.99
642;1.17;1.54
838;0.37;1.67
122;0.62;0.62
1704;0.69;0.69
1227;0.32;0.5
1377;1.0;0.95
986;0.55;0.84
160;0.7;0.7
852;1.03;1.03
405;0.92;0.92
1563;0.67;0.67
1270;1.0;1.0
1510;0.31;1.16
1611;0.5;0.5
552;1.9;3.29
1539;0.98;1.01
1475;1.21;1.17
649;0.17;1.36
625;0.84;1.17
1822;0.23;1.14
615;0.71;0.71
1755;1.01;0.96
92;1.39;1.12
1219;0.31;0.09
86;0.62;0.62
1066;0.44;0.44
813;1.59;1.79
680;0.24;0.61
1484;0.78;0.46
1210;0.58;0.58
1537;1.07;2.37
347;0.29;0.86
167;0.6;1.11
301;4.12;2.48
1289;0.56;0.99
979;0.85;1.14
1467;0.33;1.11
1063;0.88;0.88
478;0.65;0.66
903;0.28;0.52
433;0.87;0.87
982;0.26;0.58
853;0.3;0.72
1327;0.9;2.03
1507;0.26;0.32
1341;0.7;0.7
1292;0.11;1.66
1627;1.33;3.13
901;0.94;0.94
1470;0.97;0.97
1129;1.23;0.99
1261;1.55;0.9
781;0.31;0.34
567;2.87;4.27
648;1.68;1.68
1203;0.49;0.97
1358;0.46;0.94
1645;0.77;2.39
638;1.58;1.53
669;2.36;0.32
