from_id;to_id
1216;3022
3022;3180
3180;3774
3774;3931
3931;5236
3931;3992
3931;1929
5236;866
3992;2257
1929;6297
2257;6709
6709;6680
6680;7055
7055;341
341;2596
2596;1947
1947;205
205;196
196;1122
196;6898
6898;675
6898;2121
675;298
675;3569
2121;5268
298;262
262;277
277;1711
1711;6895
6895;4644
5268;3906
3906;1742
1742;2949
2949;1364
2949;7047
2949;2410
1364;1
7047;743
2410;7376
1;6297
743;910
743;1284
910;5813
1284;1049
1284;3624
1284;2311
1049;2135
1049;4210
1049;4541
3624;6979
2311;6265
2135;924
4210;7272
4541;6979
924;2031
2031;4737
4737;2985
2985;72
72;2579
7272;6370
6370;2377
2377;6716
6716;854
854;4702
4702;5251
5251;3003
3003;1501
1501;3375
6979;4064
6979;3073
4064;6445
6445;7033
7033;389
389;612
612;4583
4583;5781
5781;2824
2824;6839
6839;2884
6839;774
2884;3663
774;241
3663;4277
4277;4654
4654;1263
1263;5125
5125;5250
5250;5838
5838;2168
241;731
731;3393
3393;80
80;4907
4907;5470
5470;4971
6265;480
480;7376
2617;335
2896;1603
1603;2654
1603;1352
2654;780
2654;5426
2654;1804
1352;325
780;4878
5426;6685
1804;3886
4878;1405
1405;929
6685;2370
6685;1978
2370;5621
5621;989
989;1289
1289;1403
1403;1351
325;1893
1893;2637
2637;5370
2637;5897
5370;6714
5897;563
6714;5408
5408;4909
4909;4981
563;6453
6453;3495
3495;1500
5041;2274
2274;2971
2971;6650
6650;1773
1773;2592
1773;4959
2592;4259
4616;5379
4616;5008
5283;5008
5283;3781
5379;1569
1569;1905
1905;2112
2112;2526
2526;96
96;1142
96;275
1142;2491
1142;4596
4596;6285
275;4758
275;2581
2491;5459
5459;6827
6827;3053
3053;3743
3053;3723
3743;3075
3075;5223
5223;3445
5223;2054
3445;1238
3445;6952
2054;5943
2054;2181
5943;1977
2181;2688
2181;5809
2181;4892
2181;1924
2688;6499
5809;4843
4892;5542
1924;4516
4548;3677
4548;5205
4548;126
1210;869
1210;6379
3677;1280
5205;1390
126;5145
1280;2371
2371;611
2371;836
611;2517
836;4238
2517;54
54;7082
4238;7298
1390;4587
4587;4473
4473;4805
5145;212
212;6549
6549;7362
7362;2653
2653;6320
2653;2403
6320;2449
2403;4943
2403;4638
4943;6499
4638;4873
4638;231
3781;7193
3781;5910
7193;7387
7387;2082
2082;7165
7165;6438
6438;104
104;4193
4193;6598
6598;1264
1264;7074
7074;6311
6311;1498
1498;2101
1498;1974
2101;5692
5692;6735
6735;6332
6332;5639
5639;4896
4896;1870
1870;2603
2603;5789
5789;3981
5789;1220
3981;24
1220;1270
24;2801
2801;4138
1270;2466
2466;5746
5746;5747
5747;2708
2708;2092
2708;3352
2708;931
2092;7075
3352;3268
7075;2907
2907;3646
2907;6783
3646;1127
6783;5942
1127;5650
5650;2221
2221;5573
5573;2623
5573;5269
5269;7357
7357;3806
3806;4547
3806;4505
4547;1256
4505;6879
4505;5806
1256;6940
6940;49
6879;5853
5806;7318
7318;5859
5859;5942
3268;4050
4050;4470
4470;3772
4873;4217
231;5542
4217;4843
869;3074
6379;5665
3074;2021
2021;4586
4586;1204
1204;2207
1204;6659
2207;5422
6659;6737
6737;6523
6737;6865
6523;194
6523;1780
6865;1754
6865;1485
1754;1029
1754;1867
1485;7040
1029;5534
1867;2793
2793;1581
2793;2268
2793;3717
1581;3994
1581;1014
2268;3792
2268;4131
2268;6006
3717;1098
3717;3124
3994;976
3994;655
1014;600
976;6210
655;3792
3792;43
43;6812
4131;648
1098;7153
3124;627
7153;881
627;199
7040;842
4516;900
900;3572
3572;7370
7370;2383
2383;7294
6285;6954
6285;657
6954;6207
657;6089
6207;711
4758;1308
2581;3203
3203;3503
3503;3418
3418;279
1928;4046
4046;6630
6630;3059
6630;5337
3059;6742
6742;6473
6742;1495
6473;996
6473;2450
996;2247
2450;5184
2247;5696
5696;3591
5696;4258
3591;4839
4839;2366
2366;232
232;6518
6518;613
6518;2746
613;5504
2746;3721
5504;6833
6833;3526
3526;1365
3721;3246
3246;92
5184;3872
1113;471
1113;6610
471;3683
6610;4108
6610;7068
3683;3669
3683;2856
3669;2364
2856;975
4108;4015
7068;4513
4015;5391
4015;1983
5391;7029
1983;1342
1342;699
699;6307
699;6973
6307;6986
6307;6508
6973;756
6986;4273
6986;6024
6508;4920
4273;7261
6024;5230
6024;4513
7261;7094
756;2279
2279;5276
5276;167
167;567
167;5592
567;6041
6041;76
397;3496
3496;3438
3438;3928
5557;5447
5447;3224
5447;3554
3224;2357
3554;2862
2357;3220
3220;2439
2439;5332
5332;6094
6094;4036
4036;7145
7145;2600
2600;445
445;4343
445;4116
4343;6880
4343;4116
4116;6513
6880;1153
1153;300
1153;4501
300;7389
2862;6843
2862;4577
6843;6251
6251;5423
6251;4367
6251;4112
6706;7305
6706;1687
7305;5657
1687;4375
4375;834
834;4121
4121;3853
3853;1267
1267;5499
5499;1996
1996;3494
3494;2398
2398;4444
4444;3462
3462;1831
1831;4487
5657;110
110;4988
4988;840
840;3837
840;1518
840;65
3837;2399
65;4782
2399;3357
3357;618
618;765
765;52
765;6042
52;6992
6992;5355
6992;6730
6992;1537
5355;1073
6730;441
1537;2290
1073;1064
1064;6757
6757;5563
5563;6155
6155;861
6155;53
861;3605
861;4498
3605;1095
4498;891
4498;2568
1095;1961
1095;94
1961;5874
5874;6816
5874;3298
6816;5828
5828;2477
891;1445
2568;7291
1445;5333
5333;4463
4463;7102
4463;3702
7102;5641
3702;5217
5641;1913
1913;2030
2030;6068
6068;7330
7330;60
60;6100
6100;1847
1847;3899
1847;6233
3899;771
771;4895
4895;4660
4660;84
84;6449
6449;3490
7291;5026
7291;7207
5026;4171
4171;5576
5576;4882
5576;2993
4882;6899
2993;2078
6899;1312
1312;3511
1312;2503
3511;5085
5085;5609
5085;5429
5609;6891
6891;4255
6891;1034
4255;2822
1034;6118
2822;5312
5312;6228
6228;3755
6228;2539
3755;5180
3755;7104
2539;7134
5180;3372
5180;291
7104;815
3372;4978
291;2052
4978;2671
2671;815
815;3984
3984;5305
5305;2407
5305;2265
2407;4853
4853;6507
6507;3666
3666;7311
7311;6803
6803;766
766;843
766;1424
843;1383
