id;x;y;z
39231;411608.7;5283396.38;1765.57
22916;411616.46;5283390.27;1765.23
7932;411617.68;5283398.15;1765.99
57232;411604.99;5283399.02;1762.7
51793;411619.9;5283386.74;1768.47
54093;411622.39;5283390.29;1760.59
17272;411453.03;5283115.96;1691.82
57570;411454.68;5283107.99;1695.68
7651;411457.33;5283123.09;1697.6
12262;411454.55;5283112.37;1691.62
26175;411454.58;5283112.26;1691.61
15075;411455.08;5283104.6;1697.27
44641;411447.86;5283114.03;1694.1
34111;411443.19;5282924.37;1548.03
8382;411439.55;5282924.12;1544.97
50080;411449.65;5282910.21;1547.09
23448;411444.77;5282922.53;1547.66
21626;411442.22;5282937.98;1552.99
21006;411435.32;5282920.79;1541.02
38583;411439.28;5282924.74;1543.28
52853;411368.55;5281455.75;1551.36
47371;411372.12;5281454.16;1547.97
15758;411361.4;5281453.28;1548.9
4374;411366.97;5281456.71;1551.49
11845;411382.56;5281475.56;1542.31
46659;411377.93;5281452.09;1551.17
52626;411357.92;5281451.25;1546.04
45230;411362.33;5281452.89;1549.08
42006;411375.75;5281449.75;1547.16
25964;411371.71;5281454.21;1544.29
41925;411383.97;5281449.0;1548.83
1281;411368.82;5281453.46;1545.13
27153;411376.06;5281457.12;1541.91
26323;411374.23;5281469.24;1538.37
335;411405.3;5281702.45;1539.34
19922;411404.77;5281713.57;1533.24
42189;411405.94;5281703.0;1539.62
9061;411400.6;5281703.5;1538.58
19836;411400.65;5281716.1;1532.16
45729;411400.3;5281714.83;1532.51
53786;410884.31;5280395.97;1671.06
534;410884.57;5280397.68;1663.55
10731;410884.7;5280394.92;1671.91
20233;410880.63;5280396.36;1671.24
38885;410886.37;5280395.02;1665.7
38855;410879.92;5280395.5;1659.53
24463;410559.45;5280216.46;1479.69
22626;410558.45;5280220.4;1481.09
10532;410551.08;5280211.64;1477.11
3391;410547.96;5280214.1;1482.91
22372;410564.65;5280213.86;1474.48
10473;410561.65;5280224.48;1488.84
31106;410826.51;5280435.24;1599.68
52515;410823.5;5280433.77;1599.98
46763;410828.87;5280437.4;1600.01
4291;410827.56;5280434.66;1598.46
8865;410821.2;5280428.09;1601.74
30286;410820.85;5280432.39;1606.17
15777;410807.26;5280325.34;1577.15
25129;410807.1;5280336.97;1583.0
16222;410819.08;5280320.7;1570.4
8486;410796.12;5280327.28;1577.14
31386;410808.76;5280351.23;1587.05
24804;410799.06;5280332.77;1586.74
4821;410824.52;5280311.14;1560.28
41125;410814.53;5280318.08;1571.19
5581;410714.32;5280185.6;1536.18
27463;410714.69;5280184.24;1536.94
13176;410715.89;5280188.23;1536.66
55126;410713.15;5280183.32;1535.13
28871;410711.7;5280182.38;1537.82
44481;410719.57;5280182.39;1534.61
24389;410596.1;5280292.51;1585.72
20966;410596.06;5280289.84;1584.96
46407;410596.35;5280289.19;1584.64
17181;410597.79;5280302.68;1583.02
8522;410601.81;5280295.41;1583.46
44622;410598.18;5280292.28;1583.5
48950;410844.21;5282743.56;1666.84
26939;410836.86;5282741.8;1663.47
32626;410847.98;5282742.9;1669.33
9460;410844.0;5282747.74;1669.57
980;410833.71;5282744.71;1663.74
49765;410839.88;5282751.19;1665.09
33761;410843.59;5282756.56;1665.47
50306;410915.5;5282651.3;1614.72
26490;410915.57;5282652.32;1605.05
2723;410916.29;5282650.3;1635.83
57318;410911.63;5282651.59;1613.25
38611;410909.99;5282657.09;1603.0
49777;411306.97;5282379.1;1776.53
54121;411294.56;5282375.34;1783.67
53587;411307.6;5282384.45;1776.34
10895;411311.48;5282382.87;1774.0
35852;411305.48;5282389.04;1775.84
48353;411306.08;5282384.3;1775.38
40637;410750.34;5281462.55;1684.73
50787;410746.45;5281469.2;1684.07
13354;410756.83;5281467.76;1685.26
17918;410748.69;5281462.58;1684.82
44046;410742.95;5281466.56;1682.64
815;410746.95;5281474.5;1685.18
43860;411921.11;5283301.32;1755.46
49836;411916.47;5283293.65;1751.51
39476;411921.94;5283307.62;1757.17
22729;411919.52;5283297.37;1753.82
2337;411881.68;5283295.52;1733.36
43391;411884.64;5283298.73;1736.0
16809;411878.9;5283297.13;1734.52
43974;411879.93;5283289.29;1735.75
7363;411883.39;5283295.12;1734.42
9834;411889.45;5283313.37;1745.15
6232;411882.84;5283297.41;1734.73
26283;411648.85;5283539.67;1794.79
51417;411648.16;5283545.4;1795.96
37160;411646.29;5283539.64;1793.68
20755;411648.43;5283537.82;1795.15
52545;411648.98;5283545.07;1796.11
49276;411648.47;5283549.57;1797.07
46417;411416.74;5283733.37;1380.55
15190;411420.79;5283734.19;1378.2
33624;411409.85;5283731.21;1384.76
9663;411413.35;5283732.78;1382.4
56602;411427.9;5283732.1;1374.86
28793;411451.77;5283642.25;1502.35
44390;411452.58;5283637.35;1503.16
37515;411453.2;5283644.33;1503.15
14902;411458.13;5283643.85;1500.36
4781;411446.39;5283646.43;1500.29
38533;411451.46;5283633.88;1504.01
1947;411455.99;5283640.54;1503.97
20316;411502.98;5282983.37;1536.84
41401;411503.62;5282978.72;1536.57
52106;411501.75;5282987.37;1535.01
23226;411508.29;5282984.11;1541.45
44950;411506.34;5282974.57;1544.66
17752;411498.48;5282985.71;1534.34
450;411433.28;5282953.65;1562.23
24451;411433.11;5282960.17;1561.33
36236;411439.33;5282958.02;1568.42
56262;411434.29;5282962.98;1558.37
50934;411432.26;5282962.81;1560.58
38777;411430.82;5282975.86;1557.96
