id;x;y;z
119;926471.78;6023448.98;290.95
125;926471.26;6023450.23;279.91
107;926468.91;6023451.96;278.22
175;926467.81;6023453.28;276.26
61;926467.43;6023453.05;271.99
205;926468.84;6023450.86;269.74
159;926468.5;6023450.85;266.01
149;926469.87;6023453.88;266.12
109;926467.27;6023452.16;266.07
145;926470.92;6023457.24;265.94
66;926472.68;6023453.05;265.14
46;926477.47;6023470.19;264.8
54;926490.76;6023479.06;264.52
154;926492.96;6023479.27;266.12
178;926490.95;6023487.03;264.66
192;926502.04;6023473.3;271.18
124;926502.04;6023473.3;274.18
222;926494.73;6023491.65;264.76
82;926505.95;6023498.04;264.54
7;926510.01;6023498.59;263.93
174;926511.99;6023502.43;264.73
183;926517.15;6023505.49;264.31
230;926526.76;6023510.75;264.12
166;926535.56;6023517.55;263.73
62;926536.02;6023522.51;264.25
108;926541.42;6023521.91;263.67
84;926545.72;6023526.64;263.33
122;926554.75;6023530.41;263.33
86;926562.81;6023537.34;263.33
39;926565.52;6023535.42;267.14
29;926560.14;6023543.43;265.11
231;926565.16;6023544.05;263.21
11;926568.22;6023543.92;262.27
156;926564.99;6023552.5;265.97
1;926567.81;6023547.04;262.44
214;926571.31;6023546.21;262.25
116;926576.61;6023547.9;262.54
77;926580.1;6023543.68;263.8
21;926577.69;6023551.6;262.13
168;926462.94;6023447.4;266.01
81;926461.52;6023444.83;266.22
227;926463.43;6023446.43;265.84
212;926458.21;6023445.58;267.38
72;926454.23;6023448.73;268.28
135;926464.16;6023443.54;265.26
200;926461.85;6023440.28;265.33
219;926457.76;6023437.01;265.42
10;926455.0;6023435.91;265.48
87;926458.26;6023431.35;265.67
75;926459.83;6023427.09;265.75
225;926459.43;6023423.99;271.61
211;926460.9;6023431.31;268.26
182;926461.63;6023428.58;265.63
158;926461.77;6023423.37;265.81
203;926460.24;6023420.32;265.81
160;926461.84;6023416.3;265.81
2;926457.03;6023413.98;265.9
184;926455.3;6023411.34;265.85
99;926454.76;6023411.55;265.77
4;926454.38;6023408.15;265.8
103;926451.65;6023405.7;265.99
110;926446.32;6023403.48;266.19
37;926442.96;6023399.72;266.37
161;926442.02;6023397.98;266.21
220;926438.86;6023396.49;266.03
170;926581.53;6023560.53;261.97
199;926582.78;6023563.55;262.19
58;926582.26;6023564.68;263.3
120;926583.34;6023566.08;264.13
93;926581.24;6023570.09;265.09
233;926585.5;6023574.78;265.87
73;926576.51;6023589.93;269.28
5;926588.38;6023587.12;269.71
164;926568.32;6023595.95;264.11
128;926569.78;6023595.35;286.69
105;926560.83;6023591.15;265.05
131;926553.81;6023600.58;263.61
104;926565.56;6023600.72;260.9
71;926545.89;6023608.58;268.37
98;926559.56;6023605.99;258.61
8;926969.16;6023847.6;389.85
106;926970.8;6023848.35;388.81
67;926969.89;6023848.59;388.06
34;926971.01;6023850.05;384.95
19;926970.77;6023850.34;377.86
206;926971.02;6023849.56;378.04
130;926970.41;6023848.82;377.05
127;926967.16;6023849.78;367.76
142;926967.65;6023849.91;366.72
167;926968.62;6023852.16;363.8
112;926961.54;6023854.51;353.93
101;926962.16;6023853.94;350.99
38;926962.51;6023856.04;348.59
138;926962.2;6023856.63;346.96
100;926962.19;6023856.6;346.93
213;926965.84;6023860.61;346.55
32;926963.87;6023865.08;346.47
132;926961.99;6023866.05;346.43
88;926962.5;6023868.18;346.43
193;926960.53;6023870.03;346.19
144;926964.95;6023873.56;346.09
6;926967.3;6023878.32;346.0
56;926967.87;6023880.04;345.65
47;926972.74;6023881.98;345.65
97;926964.42;6023881.91;345.79
139;926976.9;6023879.73;345.24
53;926978.68;6023881.37;344.77
146;926979.61;6023881.28;344.13
31;926979.62;6023881.44;345.43
23;926980.83;6023882.33;343.49
40;926957.63;6023879.61;345.66
185;926955.6;6023882.15;345.83
217;926953.43;6023881.89;346.22
41;926953.22;6023882.45;348.17
28;926954.13;6023883.04;349.07
179;926982.16;6023882.69;345.33
16;926983.12;6023884.04;345.23
171;926986.9;6023887.07;345.19
224;926987.3;6023887.15;344.14
3;926989.1;6023891.45;341.87
