from_id;to_id
30;548
30;1792
548;149
1792;1928
149;1183
204;213
213;319
319;1581
1581;1002
1002;1393
1393;1077
1077;1927
1927;1273
1273;1313
1313;1208
1313;1789
1208;1249
1249;1109
1109;1347
1347;950
950;439
439;1203
1203;2035
2035;129
129;798
129;1662
798;1597
1662;1837
1597;1949
1949;1761
1761;1535
1535;592
592;1361
1361;2001
2001;6
6;1777
1777;1280
1280;1745
1745;1899
1899;331
331;673
673;927
927;79
79;568
568;1561
1561;499
499;1819
1819;804
804;1053
1053;909
909;1164
1164;1275
1275;1081
1081;43
43;165
165;435
435;1703
1703;825
825;1136
1136;675
675;1988
1988;1239
1239;751
751;146
146;192
192;1810
1810;1027
1027;1122
1122;700
700;2029
2029;1928
503;1881
503;329
1881;1421
329;581
1421;1808
1738;385
385;316
316;938
938;232
232;1851
1851;1551
1551;710
710;147
147;1815
1815;1920
1920;197
197;884
884;1803
1803;1801
1801;1765
1765;1671
1765;508
1671;647
647;1289
1289;90
90;1383
1383;1353
1353;308
308;185
185;205
205;1568
1568;1915
1915;78
78;859
859;750
750;1341
1341;255
255;984
984;1014
1014;218
218;281
281;1708
1708;436
436;1500
1500;777
777;1754
1754;1534
1534;579
579;1750
1750;70
70;363
363;38
38;1140
1140;913
913;1977
1977;1567
1567;518
518;1218
1218;509
509;375
375;4
4;195
195;1061
1061;135
135;1251
1251;581
1183;453
453;668
668;1231
1231;530
530;1406
1406;33
33;1589
1589;1572
1572;1755
1755;376
376;1057
1057;1610
1610;1307
1307;768
768;1559
1559;404
404;1012
1012;1857
1857;1577
1577;703
703;1553
1553;1685
1685;240
240;2003
2003;2025
2025;1823
1823;1119
1956;862
862;1193
1193;1171
1171;572
572;1655
1655;1175
1175;1601
1601;440
440;819
819;24
24;1426
1426;2084
2084;2015
2015;1440
1440;1575
1575;1627
1627;612
612;1197
1197;740
740;1107
1107;358
358;1135
1135;852
852;577
577;1791
1791;1104
1104;1573
1573;931
1573;1972
1573;1925
931;1460
1972;1467
1925;1256
1460;622
622;278
278;1070
1070;639
639;1862
1862;1396
1396;1944
1944;599
599;1479
1479;493
493;1278
1278;209
209;1714
1256;1998
1998;1149
1149;94
94;820
820;158
158;498
498;988
988;104
104;383
383;335
335;398
398;1799
1799;1387
1387;1144
1144;545
545;1154
1154;233
233;382
382;1860
1860;1248
1248;970
970;47
47;1006
1006;911
1006;1780
911;802
1780;1105
802;1352
1352;1537
1537;1101
1101;287
287;1981
1981;657
657;441
441;288
288;1325
1325;344
344;2051
2051;1657
1657;519
519;2048
2048;2079
2079;1626
1626;1999
1999;1496
1496;2011
2011;19
19;1966
1133;229
229;1419
1419;870
870;1167
1167;872
872;1480
1480;215
215;1992
1992;1227
1227;986
986;2020
2020;444
444;220
220;1215
1215;966
966;1585
966;137
1585;655
137;1983
655;276
99;1108
1108;1451
1451;333
333;457
457;935
935;832
832;69
69;662
662;1886
1886;1615
1615;1425
1425;912
912;747
747;527
527;1176
1176;32
32;821
821;785
785;1038
1038;1875
1875;1514
1514;868
868;850
850;175
175;442
442;1725
1725;156
156;910
910;1475
1475;922
922;678
678;273
273;196
196;203
196;806
806;14
14;381
381;597
597;1565
1565;839
839;843
843;161
161;585
585;2005
2005;2014
2014;470
470;1858
1858;172
172;1321
1321;917
917;389
389;419
419;1459
1459;1619
1619;272
272;1075
1075;895
895;76
76;41
41;1668
1668;672
672;522
522;1519
1519;9
9;846
846;1873
1873;670
670;190
190;1471
1471;1684
1684;1986
1986;8
8;1691
1808;890
890;371
371;1182
1182;1848
1848;411
411;1650
1650;1210
1210;1556
1556;191
191;40
40;1386
1386;1798
1798;1187
1187;141
141;860
860;775
775;315
315;2092
699;1555
1555;1720
1720;982
982;102
102;322
322;1139
1139;1965
1965;1468
1468;1641
1641;1706
1706;113
113;274
274;712
712;2095
2095;275
275;1963
1963;1299
1299;701
701;635
481;1710
1710;1088
1088;2023
2023;1931
1931;1290
1290;648
648;789
789;1492
1492;269
269;724
724;730
730;1889
1889;2030
2030;1645
1645;858
858;28
28;691
691;254
254;520
520;576
576;107
107;994
994;486
486;1314
1314;2034
