from_id;to_id
852;1752
852;1619
1752;1219
1619;1175
1619;146
1219;716
716;202
202;1003
202;915
1003;223
915;1778
332;548
548;1661
1661;780
780;1640
1640;1137
1137;1075
1075;1461
1461;874
874;87
87;15
15;1160
1160;377
377;1077
1077;514
514;966
966;236
236;1330
1330;1656
1656;1254
1254;539
539;179
179;80
80;1437
1437;446
446;1659
1659;280
280;230
230;892
892;358
358;1032
1032;1652
1652;824
824;478
478;1056
1056;1011
1011;1633
1633;475
475;338
338;1402
1402;766
766;1599
1599;1301
1301;1620
1620;1111
1111;1183
1183;289
289;1431
1431;1493
1493;943
943;1162
1162;1202
1202;821
821;30
30;122
122;1040
1040;1607
1607;1329
1329;900
900;587
587;834
834;1830
1830;1728
1728;419
419;930
930;97
97;869
869;1
1;1134
1134;337
337;447
447;150
150;1292
1292;423
423;1186
1186;828
828;671
671;361
361;50
50;206
206;1557
1557;986
986;168
168;532
532;754
754;356
356;1346
1346;689
689;1529
1529;811
811;203
203;936
936;392
392;160
160;279
279;640
640;1676
1676;1649
1649;565
565;749
749;1626
1626;1479
1479;1387
1387;1331
1331;1223
1223;1092
1092;1212
1212;928
928;53
53;1386
1386;1606
1606;875
875;382
382;756
756;890
890;580
580;1208
1208;1574
1574;1817
1817;856
856;1224
1224;459
459;275
275;74
74;1276
1276;1653
1653;357
357;1468
1468;712
712;1504
1504;1053
1053;1267
1267;1378
1378;1169
1169;797
797;183
183;370
370;1665
1665;1138
1138;591
591;1117
1117;881
881;1757
1757;214
214;1085
1085;1469
1469;764
764;1057
1057;1028
1028;562
562;174
174;1366
1366;735
735;1580
1580;653
653;121
121;942
942;938
938;1541
1541;1089
1089;1679
1679;955
955;1697
1697;1748
1748;676
676;1116
1116;616
616;560
560;1055
1055;1026
1026;708
708;1426
1426;396
396;116
116;426
426;288
288;619
46;81
81;1737
1737;1747
1747;1048
1048;444
444;1777
1777;1135
1135;1093
1093;1408
1408;620
620;782
782;1314
1314;346
346;324
324;657
657;229
229;506
506;685
685;43
43;1511
1511;1518
1518;1742
1742;1540
1540;286
286;1825
1825;351
351;661
661;1636
1636;617
617;722
722;1537
1537;1312
1312;1206
1206;1769
1769;902
902;85
85;380
380;1189
1189;1371
1371;143
143;771
771;570
570;1472
1472;408
408;582
582;884
884;1655
1655;1051
1051;1405
1405;1081
1081;1641
1641;375
375;1674
1674;642
642;353
353;1136
1136;1490
1490;461
461;133
133;700
700;1572
1572;588
588;310
310;1534
1534;1484
1484;1530
1530;410
410;1172
1172;418
418;1251
1251;1131
1131;335
335;241
241;269
269;541
541;1796
1796;1339
1339;919
919;1259
1259;1253
1253;1250
1250;355
355;48
48;107
107;622
622;176
176;1507
1507;453
453;495
495;225
225;1257
1257;1103
1103;743
743;1152
1152;1595
1595;1458
1458;407
407;804
804;1084
1084;1179
1179;1755
1755;1294
1294;142
142;1691
142;1562
1691;1280
1562;386
1280;42
42;575
575;745
745;232
232;1176
1176;270
270;1590
1590;290
290;742
742;870
870;1829
1829;534
534;615
615;850
850;172
172;629
629;1522
1522;697
697;698
698;694
694;740
740;1797
1797;1581
1581;1664
800;922
800;637
800;499
800;1054
800;664
800;898
800;1064
800;136
800;1552
800;584
800;1275
800;296
800;1475
800;1571
800;1264
800;402
800;882
800;117
800;703
800;1327
800;876
800;643
800;847
800;1306
800;38
800;470
800;1727
800;1612
800;1810
800;78
800;1364
800;1228
800;1100
800;976
800;267
800;1242
800;1197
800;99
800;1164
800;1807
800;1586
800;1035
800;1466
800;31
922;887
922;686
922;952
922;1751
922;1217
922;1806
922;528
922;1042
922;1463
922;755
922;242
922;220
922;1335
922;177
922;1180
922;303
922;271
922;1261
922;1733
922;165
922;1266
922;16
922;28
922;1803
922;406
922;1126
922;313
922;798
922;1477
922;1483
922;713
922;1654
922;939
922;1725
922;1229
922;1610
922;1476
922;442
922;535
637;733
637;1766
637;968
637;477
637;656
637;1108
637;1384
637;889
637;1328
637;734
637;659
637;600
637;806
637;90
637;958
637;327
637;1338
637;1233
637;558
637;1385
637;501
637;385
637;984
637;27
637;1495
637;1227
637;605
637;60
637;507
637;344
637;467
637;1498
637;1325
637;1350
637;104
637;739
637;564
637;1239
637;139
637;389
637;1002
637;581
637;1133
637;1045
637;1240
637;994
637;1012
637;1523
637;896
637;490
637;1450
637;1113
637;1418
637;1741
637;498
637;719
259;1099
259;959
259;1287
1099;621
1287;1648
1287;1302
1320;1662
1320;916
1320;857
1320;1213
1320;1258
1320;1639
1320;1798
1320;1647
1320;454
1320;32
1320;1015
1320;1701
1320;992
1320;586
1320;1716
1320;1608
1320;1634
1320;320
1320;1114
1320;775
1662;786
1662;563
1662;1743
1662;61
1662;1666
1662;180
1662;618
1662;128
1662;1000
1662;1216
1662;974
1662;556
1662;1193
1662;1598
1662;1542
1662;523
1662;877
1662;596
1662;1159
1662;1277
1662;769
1662;975
1662;487
1662;263
1662;1430
1662;752
1662;646
1662;1569
1662;611
1662;555
1662;1188
1662;1624
1662;704
1662;542
887;1784
887;197
887;260
887;831
887;35
887;1687
887;328
887;1332
887;721
887;1804
887;524
887;792
887;224
887;194
887;1421
887;1158
887;702
887;1779
887;1260
887;244
887;1533
887;1372
887;1618
887;228
887;401
887;1693
887;981
887;198
887;175
887;127
887;932
887;1073
887;372
887;253
887;1550
887;602
887;906
887;886
887;472
887;1268
887;1284
887;1528
887;1568
1784;59
1784;1410
1784;132
1784;1060
1784;252
1784;988
1784;1819
1784;663
1784;240
1784;1246
1784;1576
1784;437
1784;1453
1784;1442
1784;1381
1784;1124
1784;1509
1784;1451
1784;1793
1784;1345
1784;1788
1784;718
1784;865
1784;610
1784;343
59;855
59;1699
59;1413
59;846
59;1776
59;383
59;696
59;471
59;1738
59;66
59;695
59;1795
59;1299
59;167
59;631
59;1448
59;1428
59;1438
59;762
59;1732
59;441
59;1565
59;842
59;912
59;1417
59;292
59;239
59;1491
59;1194
59;1420
59;1281
59;398
855;585
855;1072
855;795
855;249
855;1516
585;805
585;1447
585;741
585;8
585;1080
585;1711
585;691
585;720
585;1768
585;363
585;144
585;1578
585;561
585;614
585;947
585;1570
585;1295
585;559
585;251
585;760
585;4
585;1274
585;574
585;151
585;238
585;1787
585;371
585;1061
585;841
585;978
585;19
585;456
585;307
585;1368
585;794
585;100
585;1033
585;571
585;209
585;1603
585;951
585;1353
585;462
585;415
585;1650
585;57
805;786
805;1018
805;1336
805;1593
805;705
805;1726
805;623
