from_id;to_id
268;286
286;160
160;29
29;300
300;297
297;141
141;366
366;304
304;51
51;155
155;255
255;120
120;206
206;73
73;311
311;96
96;349
349;333
333;353
353;235
235;344
344;372
372;130
130;215
215;114
114;188
188;342
342;119
119;221
221;360
360;83
83;328
328;214
214;183
183;254
254;0
0;97
97;149
149;267
267;266
266;166
166;52
52;75
75;322
322;178
178;225
225;216
216;98
98;113
113;87
87;319
319;106
106;209
209;135
135;355
355;202
202;182
182;7
7;240
240;236
236;263
263;59
59;121
121;331
331;50
50;245
245;9
9;170
170;150
150;43
43;39
39;136
136;198
198;239
239;134
134;365
365;8
8;173
173;289
289;337
337;193
193;99
99;381
381;175
175;320
320;63
63;380
380;23
23;191
191;226
226;16
16;45
45;111
111;241
241;38
38;186
186;211
211;290
290;324
324;31
31;24
24;232
232;296
296;375
375;228
228;70
70;248
248;49
49;76
76;57
57;151
151;48
48;147
147;364
364;169
169;88
88;314
314;126
126;231
231;192
192;56
56;58
58;277
277;253
253;69
69;373
373;90
90;325
325;285
285;2
2;363
363;109
109;316
316;107
107;259
259;72
72;32
32;30
30;339
339;347
347;41
41;233
233;145
145;361
361;65
65;179
179;10
10;14
14;212
212;378
378;164
164;302
164;295
295;323
323;25
25;377
377;153
153;345
345;195
195;371
371;6
6;112
112;86
86;125
86;326
125;104
326;283
104;190
190;26
26;115
115;11
11;146
146;262
262;36
36;217
217;227
227;243
243;362
362;74
74;379
379;93
93;61
61;81
81;237
237;269
269;110
110;89
89;335
335;278
278;329
329;159
159;194
194;128
128;116
116;368
368;123
123;308
308;258
258;54
54;313
313;303
303;246
246;357
357;77
77;332
77;108
332;298
108;219
298;383
383;309
309;213
213;37
37;143
143;84
84;129
219;33
33;343
343;340
340;71
71;204
283;251
251;60
60;352
352;199
199;85
85;137
137;334
334;359
359;376
154;321
154;180
154;382
154;367
180;301
382;94
367;22
301;200
301;94
200;66
66;172
172;148
148;218
218;207
207;338
338;256
256;310
256;139
310;174
139;47
174;13
13;197
197;274
274;220
220;238
238;210
210;102
102;369
369;17
17;293
293;176
293;168
176;68
168;3
68;131
131;279
279;34
34;35
35;260
260;161
161;44
44;224
224;312
224;264
312;91
264;288
91;42
42;272
272;299
299;167
167;306
306;280
280;78
78;292
292;55
55;138
138;275
138;132
3;318
288;203
203;257
257;229
229;189
189;291
291;103
103;244
244;222
222;28
28;140
140;242
242;284
284;5
5;282
5;356
282;230
356;124
124;184
184;265
265;281
281;133
133;208
208;351
351;100
100;234
234;82
82;201
201;273
273;15
15;152
152;287
287;46
46;53
53;105
105;163
163;249
249;171
171;330
330;307
307;1
1;62
62;177
177;336
336;370
370;40
40;18
18;358
358;165
165;64
64;20
20;4
4;305
305;252
252;12
12;92
92;80
80;261
261;250
250;185
185;346
346;156
156;341
341;67
67;205
205;127
127;101
101;122
122;354
354;294
294;276
276;348
348;21
348;181
181;142
142;247
247;187
187;162
162;157
157;117
117;327
327;144
270;223
223;79
79;95
95;196
196;317
317;374
374;19
19;350
